"magpiecell","basincode"
"SEN.1",23584
"SEN.2",23600
"GMB.3",23601
"SEN.4",23603
"SEN.5",23603
"SEN.6",23605
"MRT.7",23609
"MRT.8",23609
"ESH.9",23611
"ESH.10",23612
"GNB.11",23599
"SEN.12",23600
"GMB.13",23601
"SEN.14",23601
"SEN.15",23602
"SEN.16",23602
"SEN.17",23605
"SEN.18",23606
"SEN.19",23635
"MRT.20",23636
"MRT.21",23637
"MRT.22",23640
"MRT.23",23641
"MRT.24",23642
"MRT.25",23643
"MRT.26",23643
"ESH.27",23611
"ESH.28",23612
"ESH.29",23647
"GNB.30",23599
"SEN.31",23600
"SEN.32",23601
"SEN.33",23601
"SEN.34",23602
"SEN.35",23602
"SEN.36",23605
"SEN.37",23635
"SEN.38",23635
"MRT.39",23635
"MRT.40",23637
"MRT.41",23676
"MRT.42",23638
"MRT.43",23639
"MRT.44",23639
"MRT.45",23640
"MRT.46",23641
"MRT.47",23641
"MRT.48",23641
"ESH.49",23611
"ESH.50",23611
"ESH.51",23647
"ESH.52",23648
"ESH.53",23688
"GNB.54",23703
"GNB.55",23664
"GNB.56",23599
"SEN.57",23600
"SEN.58",23600
"SEN.59",23601
"SEN.60",23602
"SEN.61",23602
"SEN.62",23635
"SEN.63",23635
"SEN.64",23635
"MRT.65",23635
"MRT.66",23637
"MRT.67",23637
"MRT.68",23639
"MRT.69",23639
"MRT.70",23639
"MRT.71",23639
"MRT.72",23640
"MRT.73",23641
"MRT.74",23641
"ESH.75",23641
"ESH.76",23641
"ESH.77",23647
"ESH.78",23688
"ESH.79",23689
"ESH.80",23729
"GIN.81",23741
"GIN.82",23741
"GNB.83",23664
"GNB.84",23664
"SEN.85",23600
"SEN.86",23601
"SEN.87",23601
"SEN.88",23602
"SEN.89",23635
"SEN.90",23635
"SEN.91",23635
"SEN.92",23635
"MRT.93",23635
"MRT.94",23637
"MRT.95",23639
"MRT.96",23639
"MRT.97",23639
"MRT.98",23639
"MRT.99",23639
"MRT.100",23639
"MRT.101",23641
"MRT.102",23641
"ESH.103",23641
"ESH.104",23641
"ESH.105",23647
"ESH.106",23688
"ESH.107",23771
"ESH.108",23771
"ESH.109",23769
"ESH.110",23770
"ESH.111",23771
"GIN.112",23781
"GIN.113",23741
"GIN.114",23741
"GNB.115",23664
"GNB.116",23664
"SEN.117",23664
"SEN.118",23601
"SEN.119",23601
"SEN.120",23602
"SEN.121",23635
"SEN.122",23635
"SEN.123",23635
"SEN.124",23635
"MRT.125",23635
"MRT.126",23637
"MRT.127",23639
"MRT.128",23639
"MRT.129",23639
"MRT.130",23639
"MRT.131",23639
"MRT.132",23639
"MRT.133",23639
"MRT.134",23641
"ESH.135",23641
"ESH.136",23641
"ESH.137",23641
"ESH.138",23771
"ESH.139",23771
"ESH.140",23771
"ESH.141",23771
"ESH.142",23771
"ESH.143",23771
"ESH.144",23813
"GIN.145",23822
"GIN.146",23822
"GIN.147",23781
"GIN.148",23741
"GIN.149",23664
"GIN.150",23664
"SEN.151",23664
"SEN.152",23601
"SEN.153",23601
"SEN.154",23601
"SEN.155",23635
"SEN.156",23635
"SEN.157",23635
"MRT.158",23635
"MRT.159",23837
"MRT.160",23837
"MRT.161",23837
"MRT.162",23639
"MRT.163",23639
"MRT.164",23639
"MRT.165",23639
"MRT.166",23639
"MRT.167",23639
"MRT.168",23639
"ESH.169",23641
"ESH.170",23641
"ESH.171",23641
"ESH.172",23641
"ESH.173",23771
"ESH.174",23771
"ESH.175",23771
"ESH.176",23813
"ESH.177",23813
"ESH.178",23813
"GIN.179",23868
"GIN.180",23868
"GIN.181",23822
"GIN.182",23781
"GIN.183",23664
"GIN.184",23664
"GIN.185",23664
"SEN.186",23601
"SEN.187",23601
"SEN.188",23601
"SEN.189",23601
"SEN.190",23635
"SEN.191",23635
"MRT.192",23635
"MRT.193",23635
"MRT.194",23635
"MRT.195",23837
"MRT.196",23837
"MRT.197",23837
"MRT.198",23639
"MRT.199",23639
"MRT.200",23639
"MRT.201",23639
"MRT.202",23639
"MRT.203",23639
"ESH.204",23641
"ESH.205",23641
"ESH.206",23641
"ESH.207",23641
"ESH.208",23771
"ESH.209",23904
"ESH.210",23904
"ESH.211",23904
"ESH.212",23904
"ESH.213",23904
"ESH.214",23904
"ESH.215",23904
"SLE.216",23910
"SLE.217",23866
"SLE.218",23867
"SLE.219",23867
"GIN.220",23867
"GIN.221",23867
"GIN.222",23822
"GIN.223",23822
"GIN.224",23664
"GIN.225",23601
"SEN.226",23601
"SEN.227",23601
"SEN.228",23601
"SEN.229",23601
"SEN.230",23635
"MRT.231",23635
"MRT.232",23635
"MRT.233",23635
"MRT.234",23635
"MRT.235",23635
"MRT.236",23837
"MRT.237",23837
"MRT.238",23639
"MRT.239",23639
"MRT.240",23639
"MRT.241",23639
"MRT.242",23639
"MRT.243",24229
"MRT.244",24229
"MRT.245",23940
"MRT.246",23940
"MRT.247",23940
"ESH.248",23771
"ESH.249",23904
"ESH.250",23904
"ESH.251",23904
"ESH.252",23904
"ESH.253",23904
"ESH.254",23904
"ESH.255",23904
"SLE.256",23910
"SLE.257",23910
"SLE.258",23866
"SLE.259",23867
"SLE.260",23867
"GIN.261",23867
"GIN.262",23635
"GIN.263",23635
"GIN.264",23664
"GIN.265",23601
"SEN.266",23601
"SEN.267",23601
"SEN.268",23635
"SEN.269",23635
"SEN.270",23635
"MRT.271",23635
"MRT.272",23635
"MRT.273",23635
"MRT.274",23635
"MRT.275",23635
"MRT.276",23975
"MRT.277",23975
"MRT.278",23639
"MRT.279",23639
"MRT.280",23639
"MRT.281",24229
"MRT.282",23981
"MRT.283",23981
"MRT.284",24229
"MRT.285",24229
"MRT.286",23940
"MRT.287",23940
"ESH.288",23940
"ESH.289",24229
"ESH.290",24229
"ESH.291",24229
"ESH.292",23904
"ESH.293",23904
"ESH.294",23904
"ESH.295",23904
"SLE.296",24000
"SLE.297",23954
"SLE.298",23910
"SLE.299",23910
"SLE.300",23866
"SLE.301",23867
"GIN.302",23867
"GIN.303",23635
"GIN.304",23635
"GIN.305",23601
"GIN.306",23635
"SEN.307",23601
"SEN.308",23635
"MLI.309",23635
"MLI.310",23635
"MLI.311",23635
"MLI.312",23635
"MRT.313",23635
"MRT.314",23635
"MRT.315",23635
"MRT.316",24066
"MRT.317",23975
"MRT.318",23975
"MRT.319",23639
"MRT.320",23639
"MRT.321",23639
"MRT.322",24229
"MRT.323",23981
"MRT.324",23981
"MRT.325",23981
"MRT.326",24229
"MRT.327",24229
"MRT.328",24229
"MRT.329",24229
"MRT.330",24229
"MRT.331",24229
"MRT.332",24229
"MRT.333",23904
"ESH.334",23904
"ESH.335",23904
"ESH.336",23904
"LBR.337",24045
"SLE.338",23999
"SLE.339",24000
"SLE.340",23954
"SLE.341",23954
"SLE.342",23954
"SLE.343",23866
"GIN.344",27033
"GIN.345",27033
"GIN.346",23635
"GIN.347",23635
