countryname;country;region
Afghanistan;AFG;SAS
Aland Islands;ALA;EUR
Albania;ALB;NEU
Algeria;DZA;MEA
American Samoa;ASM;OAS
Andorra;AND;NEU
Angola;AGO;SSA
Anguilla;AIA;LAM
Antarctica;ATA;LAM
Antigua and Barbuda;ATG;LAM
Argentina;ARG;LAM
Armenia;ARM;REF
Aruba;ABW;LAM
Australia;AUS;ANZ
Austria;AUT;EUR
Azerbaijan;AZE;REF
Bahamas;BHS;LAM
Bahrain;BHR;MEA
Bangladesh;BGD;SAS
Barbados;BRB;LAM
Belarus;BLR;REF
Belgium;BEL;EUR
Belize;BLZ;LAM
Benin;BEN;SSA
Bermuda;BMU;LAM
Bhutan;BTN;SAS
Bolivia;BOL;LAM
Bonaire;BES;LAM
Bosnia and Herzegovina;BIH;NEU
Botswana;BWA;SSA
Bouvet Island;BVT;LAM
Brazil;BRA;BRA
British Indian Ocean Territory;IOT;OAS
Brunei Darussalam;BRN;OAS
Bulgaria;BGR;EUR
Burkina Faso;BFA;SSA
Burundi;BDI;SSA
Cambodia;KHM;OAS
Cameroon;CMR;SSA
Canada;CAN;CAN
Cape Verde;CPV;SSA
Cayman Islands;CYM;LAM
Central African Republic;CAF;SSA
Chad;TCD;SSA
Chile;CHL;LAM
China;CHN;CHA
Christmas Island;CXR;OAS
Cocos (Keeling) Islands;CCK;OAS
Colombia;COL;LAM
Comoros;COM;SSA
Congo;COG;SSA
Congo the Democratic Republic of the;COD;SSA
Cook Islands;COK;OAS
Costa Rica;CRI;LAM
Cote d Ivoire;CIV;SSA
Croatia;HRV;EUR
Cuba;CUB;LAM
Curacao;CUW;LAM
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Denmark;DNK;EUR
Djibouti;DJI;SSA
Dominica;DMA;LAM
Dominican Republic;DOM;LAM
Ecuador;ECU;LAM
Egypt;EGY;MEA
El Salvador;SLV;LAM
Equatorial Guinea;GNQ;SSA
Eritrea;ERI;SSA
Estonia;EST;EUR
Ethiopia;ETH;SSA
Falkland Islands (Malvinas);FLK;LAM
Faroe Islands;FRO;EUR
Fiji;FJI;OAS
Finland;FIN;EUR
France;FRA;EUR
French Guiana;GUF;LAM
French Polynesia;PYF;OAS
French Southern Territories;ATF;OAS
Gabon;GAB;SSA
Gambia;GMB;SSA
Georgia;GEO;REF
Germany;DEU;EUR
Ghana;GHA;SSA
Gibraltar;GIB;EUR
Greece;GRC;EUR
Greenland;GRL;NEU
Grenada;GRD;LAM
Guadeloupe;GLP;LAM
Guam;GUM;OAS
Guatemala;GTM;LAM
Guernsey;GGY;EUR
Guinea;GIN;SSA
Guinea-Bissau;GNB;SSA
Guyana;GUY;LAM
Haiti;HTI;LAM
Heard Island and McDonald Islands;HMD;ANZ
Holy See (Vatican City State);VAT;NEU
Honduras;HND;LAM
Hong Kong;HKG;CHA
Hungary;HUN;EUR
Iceland;ISL;NEU
India;IND;IND
Indonesia;IDN;OAS
Iran;IRN;MEA
Iraq;IRQ;MEA
Ireland;IRL;EUR
Isle of Man;IMN;EUR
Israel;ISR;MEA
Italy;ITA;EUR
Jamaica;JAM;LAM
Japan;JPN;DEA
Jersey;JEY;EUR
Jordan;JOR;MEA
Kazakhstan;KAZ;REF
Kenya;KEN;SSA
Kiribati;KIR;OAS
Korea Democratic People's Republic of;PRK;CHA
Korea Republic of;KOR;DEA
Kuwait;KWT;MEA
Kyrgyzstan;KGZ;REF
Lao People's Democratic Republic;LAO;OAS
Latvia;LVA;EUR
Lebanon;LBN;MEA
Lesotho;LSO;SSA
Liberia;LBR;SSA
Libya;LBY;MEA
Liechtenstein;LIE;NEU
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Macao;MAC;CHA
Macedonia;MKD;NEU
Madagascar;MDG;SSA
Malawi;MWI;SSA
Malaysia;MYS;OAS
Maldives;MDV;SAS
Mali;MLI;SSA
Malta;MLT;EUR
Marshall Islands;MHL;OAS
Martinique;MTQ;LAM
Mauritania;MRT;SSA
Mauritius;MUS;SSA
Mayotte;MYT;SSA
Mexico;MEX;LAM
Micronesia;FSM;OAS
Moldova;MDA;REF
Monaco;MCO;NEU
Mongolia;MNG;REF
Montenegro;MNE;NEU
Montserrat;MSR;LAM
Morocco;MAR;MEA
Mozambique;MOZ;SSA
Myanmar;MMR;OAS
Namibia;NAM;SSA
Nauru;NRU;OAS
Nepal;NPL;SAS
Netherlands;NLD;EUR
New Caledonia;NCL;OAS
New Zealand;NZL;ANZ
Nicaragua;NIC;LAM
Niger;NER;SSA
Nigeria;NGA;SSA
Niue;NIU;OAS
Norfolk Island;NFK;OAS
Northern Mariana Islands;MNP;OAS
Norway;NOR;NEU
Oman;OMN;MEA
Pakistan;PAK;SAS
Palau;PLW;OAS
Palestine;PSE;MEA
Panama;PAN;LAM
Papua New Guinea;PNG;OAS
Paraguay;PRY;LAM
Peru;PER;LAM
Philippines;PHL;OAS
Pitcairn;PCN;OAS
Poland;POL;EUR
Portugal;PRT;EUR
Puerto Rico;PRI;LAM
Qatar;QAT;MEA
Reunion;REU;SSA
Romania;ROU;EUR
Russian Federation;RUS;RUS
Rwanda;RWA;SSA
Saint Barthelemy;BLM;LAM
Saint Helena;SHN;SSA
Saint Kitts and Nevis;KNA;LAM
Saint Lucia;LCA;LAM
Saint Martin (French part);MAF;LAM
Saint Pierre and Miquelon;SPM;CAN
Saint Vincent and the Grenadines;VCT;LAM
Samoa;WSM;OAS
San Marino;SMR;NEU
Sao Tome and Principe;STP;SSA
Saudi Arabia;SAU;MEA
Senegal;SEN;SSA
Serbia;SRB;NEU
Seychelles;SYC;SSA
Sierra Leone;SLE;SSA
Singapore;SGP;OAS
Sint Maarten (Dutch part);SXM;LAM
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Solomon Islands;SLB;OAS
Somalia;SOM;SSA
South Africa;ZAF;SSA
South Georgia and the South Sandwich Islands;SGS;LAM
South Sudan;SSD;SSA
Spain;ESP;EUR
Sri Lanka;LKA;SAS
Sudan;SDN;MEA
Suriname;SUR;LAM
Svalbard and Jan Mayen;SJM;NEU
Swaziland;SWZ;SSA
Sweden;SWE;EUR
Switzerland;CHE;NEU
Syrian Arab Republic;SYR;MEA
Taiwan;TWN;CHA
Tajikistan;TJK;REF
Tanzania;TZA;SSA
Thailand;THA;OAS
Timor-Leste;TLS;OAS
Togo;TGO;SSA
Tokelau;TKL;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MEA
Turkey;TUR;NEU
Turkmenistan;TKM;REF
Turks and Caicos Islands;TCA;LAM
Tuvalu;TUV;OAS
Uganda;UGA;SSA
Ukraine;UKR;REF
United Arab Emirates;ARE;MEA
United Kingdom;GBR;EUR
United States;USA;USA
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
