X;CountryCode;RegionCode
Aruba;ABW;LAM
Afghanistan;AFG;OAS
Angola;AGO;SSA
Anguilla;AIA;LAM
Aland Islands;ALA;EU3
Albania;ALB;NEU
Andorra;AND;NEU
United Arab Emirates;ARE;MEA
Argentina;ARG;LAM
Armenia;ARM;REF
American Samoa;ASM;OAS
Antarctica;ATA;LAM
French Southern Territories;ATF;OAS
Antigua and Barbuda;ATG;LAM
Australia;AUS;CAZ
Austria;AUT;EU4
Azerbaijan;AZE;REF
Burundi;BDI;SSA
Belgium;BEL;EU5
Benin;BEN;SSA
Bonaire, Sint Eustatius and Saba;BES;LAM
Burkina Faso;BFA;SSA
Bangladesh;BGD;OAS
Bulgaria;BGR;EU6
Bahrain;BHR;MEA
Bahamas;BHS;LAM
Bosnia and Herzegovina;BIH;NEU
Saint Barthelemy;BLM;LAM
Belarus;BLR;REF
Belize;BLZ;LAM
Bermuda;BMU;LAM
Bolivia, Plurinational State of;BOL;LAM
Brazil;BRA;LAM
Barbados;BRB;LAM
Brunei Darussalam;BRN;OAS
Bhutan;BTN;OAS
Bouvet Island;BVT;LAM
Botswana;BWA;SSA
Central African Republic;CAF;SSA
Canada;CAN;CAZ
Cocos (Keeling) Islands;CCK;OAS
China;CHN;CHA
Switzerland;CHE;EU4
Chile;CHL;LAM
Cote d Ivoire;CIV;SSA
Cameroon;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA
Congo;COG;SSA
Cook Islands;COK;OAS
Colombia;COL;LAM
Comoros;COM;SSA
Cape Verde;CPV;SSA
Costa Rica;CRI;LAM
Cuba;CUB;LAM
Curacao;CUW;LAM
Christmas Island;CXR;OAS
Cayman Islands;CYM;LAM
Cyprus;CYP;EU7
Czech Republic;CZE;EU6
Germany;DEU;EU1
Djibouti;DJI;SSA
Dominica;DMA;LAM
Denmark;DNK;EU3
Dominican Republic;DOM;LAM
Algeria;DZA;MEA
Ecuador;ECU;LAM
Egypt;EGY;MEA
Eritrea;ERI;SSA
Western Sahara;ESH;MEA
Spain;ESP;EU7
Estonia;EST;EU3
Ethiopia;ETH;SSA
Finland;FIN;EU3
Fiji;FJI;OAS
Falkland Islands (Malvinas);FLK;LAM
France;FRA;EU5
Faroe Islands;FRO;EU3
Micronesia, Federated States of;FSM;OAS
Gabon;GAB;SSA
United Kingdom;GBR;EU2
Georgia;GEO;REF
Guernsey;GGY;EU2
Ghana;GHA;SSA
Gibraltar;GIB;EU2
Guinea;GIN;SSA
Guadeloupe;GLP;LAM
Gambia;GMB;SSA
Guinea-Bissau;GNB;SSA
Equatorial Guinea;GNQ;SSA
Greece;GRC;EU7
Grenada;GRD;LAM
Greenland;GRL;NEU
Guatemala;GTM;LAM
French Guiana;GUF;LAM
Guam;GUM;OAS
Guyana;GUY;LAM
Hong Kong;HKG;CHA
Heard Island and McDonald Islands;HMD;CAZ
Honduras;HND;LAM
Croatia;HRV;EU4
Haiti;HTI;LAM
Hungary;HUN;EU4
Indonesia;IDN;OAS
Isle of Man;IMN;EU2
India;IND;IND
British Indian Ocean Territory;IOT;OAS
Ireland;IRL;EU2
Iran, Islamic Republic of;IRN;MEA
Iraq;IRQ;MEA
Iceland;ISL;NEU
Israel;ISR;MEA
Italy;ITA;EU7
Jamaica;JAM;LAM
Jersey;JEY;EU2
Jordan;JOR;MEA
Japan;JPN;JPN
Kazakhstan;KAZ;REF
Kenya;KEN;SSA
Kyrgyzstan;KGZ;REF
Cambodia;KHM;OAS
Kiribati;KIR;OAS
Saint Kitts and Nevis;KNA;LAM
Korea, Republic of;KOR;OAS
Kuwait;KWT;MEA
Lao People's Democratic Republic;LAO;OAS
Lebanon;LBN;MEA
Liberia;LBR;SSA
Libya;LBY;MEA
Saint Lucia;LCA;LAM
Liechtenstein;LIE;NEU
Sri Lanka;LKA;OAS
Lesotho;LSO;SSA
Lithuania;LTU;EU3
Luxembourg;LUX;EU5
Latvia;LVA;EU3
Macao;MAC;CHA
Saint Martin (French part);MAF;LAM
Morocco;MAR;MEA
Monaco;MCO;NEU
Moldova, Republic of;MDA;REF
Madagascar;MDG;SSA
Maldives;MDV;OAS
Mexico;MEX;LAM
Marshall Islands;MHL;OAS
Macedonia, the former Yugoslav Republic of;MKD;NEU
Mali;MLI;SSA
Malta;MLT;EU4
Myanmar;MMR;OAS
Montenegro;MNE;NEU
Mongolia;MNG;OAS
Northern Mariana Islands;MNP;OAS
Mozambique;MOZ;SSA
Mauritania;MRT;SSA
Montserrat;MSR;LAM
Martinique;MTQ;LAM
Mauritius;MUS;SSA
Malawi;MWI;SSA
Malaysia;MYS;OAS
Mayotte;MYT;SSA
Namibia;NAM;SSA
New Caledonia;NCL;OAS
Niger;NER;SSA
Norfolk Island;NFK;OAS
Nigeria;NGA;SSA
Nicaragua;NIC;LAM
Niue;NIU;OAS
Netherlands;NLD;EU5
Norway;NOR;EU3
Nepal;NPL;OAS
Nauru;NRU;OAS
New Zealand;NZL;CAZ
Oman;OMN;MEA
Pakistan;PAK;OAS
