"cell","IPCC","IPCC_reduced"
"AFG.20886","warm_temperate_dry","temperate_dry"
"AFG.21309","cool_temperate_dry","temperate_dry"
"AFG.21785","boreal_dry","temperate_dry"
"AFG.41690","tropical_dry","tropical_dry"
"AFG.57135","tropical_dry","tropical_dry"
"AFG.57136","tropical_dry","tropical_dry"
"AFG.57137","tropical_dry","tropical_dry"
"AFG.57138","tropical_dry","tropical_dry"
"AFG.57139","tropical_dry","tropical_dry"
"AFG.57140","tropical_dry","tropical_dry"
"AFG.57141","tropical_dry","tropical_dry"
"AFG.57142","tropical_dry","tropical_dry"
"AFG.57143","tropical_dry","tropical_dry"
"AFG.57144","tropical_dry","tropical_dry"
"AFG.57145","tropical_dry","tropical_dry"
"AFG.57146","tropical_dry","tropical_dry"
"AFG.57147","warm_temperate_dry","temperate_dry"
"AFG.57148","warm_temperate_dry","temperate_dry"
"AFG.57153","tropical_dry","tropical_dry"
"AFG.57154","tropical_dry","tropical_dry"
"AFG.57155","tropical_dry","tropical_dry"
"AFG.57156","tropical_dry","tropical_dry"
"AFG.57157","tropical_dry","tropical_dry"
"AFG.57158","tropical_dry","tropical_dry"
"AFG.57159","warm_temperate_dry","temperate_dry"
"AFG.57160","warm_temperate_dry","temperate_dry"
"AFG.57161","warm_temperate_dry","temperate_dry"
"AFG.57162","warm_temperate_dry","temperate_dry"
"AFG.57163","warm_temperate_dry","temperate_dry"
"AFG.57169","tropical_dry","tropical_dry"
"AFG.57170","tropical_dry","tropical_dry"
"AFG.57171","tropical_dry","tropical_dry"
"AFG.57172","tropical_dry","tropical_dry"
"AFG.57173","tropical_dry","tropical_dry"
"AFG.57174","tropical_dry","tropical_dry"
"AFG.57175","tropical_dry","tropical_dry"
"AFG.57176","warm_temperate_dry","temperate_dry"
"AFG.57177","warm_temperate_dry","temperate_dry"
"AFG.57178","warm_temperate_dry","temperate_dry"
"AFG.57179","cool_temperate_dry","temperate_dry"
"AFG.57180","warm_temperate_dry","temperate_dry"
"AFG.57186","tropical_dry","tropical_dry"
"AFG.57187","tropical_dry","tropical_dry"
"AFG.57188","tropical_dry","tropical_dry"
"AFG.57189","tropical_dry","tropical_dry"
"AFG.57190","tropical_dry","tropical_dry"
"AFG.57191","tropical_dry","tropical_dry"
"AFG.57192","tropical_dry","tropical_dry"
"AFG.57193","cool_temperate_dry","temperate_dry"
"AFG.57194","cool_temperate_dry","temperate_dry"
"AFG.57195","cool_temperate_dry","temperate_dry"
"AFG.57196","cool_temperate_dry","temperate_dry"
"AFG.57197","warm_temperate_dry","temperate_dry"
"AFG.57207","tropical_dry","tropical_dry"
"AFG.57208","tropical_dry","tropical_dry"
"AFG.57209","tropical_dry","tropical_dry"
"AFG.57210","tropical_dry","tropical_dry"
"AFG.57211","tropical_dry","tropical_dry"
"AFG.57212","tropical_dry","tropical_dry"
"AFG.57213","warm_temperate_dry","temperate_dry"
"AFG.57214","cool_temperate_dry","temperate_dry"
"AFG.57215","cool_temperate_dry","temperate_dry"
"AFG.57216","cool_temperate_dry","temperate_dry"
"AFG.57217","cool_temperate_dry","temperate_dry"
"AFG.57218","warm_temperate_dry","temperate_dry"
"AFG.57219","warm_temperate_dry","temperate_dry"
"AFG.57228","tropical_montane","tropical_moist"
"AFG.57229","tropical_dry","tropical_dry"
"AFG.57230","tropical_dry","tropical_dry"
"AFG.57231","tropical_dry","tropical_dry"
"AFG.57232","tropical_dry","tropical_dry"
"AFG.57233","tropical_dry","tropical_dry"
"AFG.57234","cool_temperate_dry","temperate_dry"
"AFG.57235","cool_temperate_dry","temperate_dry"
"AFG.57236","cool_temperate_dry","temperate_dry"
"AFG.57237","cool_temperate_dry","temperate_dry"
"AFG.57238","cool_temperate_dry","temperate_dry"
"AFG.57239","cool_temperate_dry","temperate_dry"
"AFG.57240","cool_temperate_dry","temperate_dry"
"AFG.57250","tropical_dry","tropical_dry"
"AFG.57251","tropical_dry","tropical_dry"
"AFG.57252","tropical_dry","tropical_dry"
"AFG.57253","tropical_dry","tropical_dry"
"AFG.57254","tropical_dry","tropical_dry"
"AFG.57255","tropical_dry","tropical_dry"
"AFG.57256","cool_temperate_dry","temperate_dry"
"AFG.57257","cool_temperate_dry","temperate_dry"
"AFG.57258","cool_temperate_dry","temperate_dry"
"AFG.57259","cool_temperate_dry","temperate_dry"
"AFG.57260","cool_temperate_dry","temperate_dry"
"AFG.57261","cool_temperate_dry","temperate_dry"
"AFG.57262","cool_temperate_dry","temperate_dry"
"AFG.57272","tropical_dry","tropical_dry"
"AFG.57273","tropical_dry","tropical_dry"
"AFG.57274","tropical_montane","tropical_moist"
"AFG.57275","tropical_dry","tropical_dry"
"AFG.57276","tropical_dry","tropical_dry"
"AFG.57277","tropical_dry","tropical_dry"
"AFG.57278","cool_temperate_dry","temperate_dry"
"AFG.57279","cool_temperate_dry","temperate_dry"
"AFG.57280","cool_temperate_dry","temperate_dry"
"AFG.57281","cool_temperate_dry","temperate_dry"
"AFG.57282","cool_temperate_dry","temperate_dry"
"AFG.57283","cool_temperate_dry","temperate_dry"
"AFG.57284","cool_temperate_dry","temperate_dry"
"AFG.57285","warm_temperate_dry","temperate_dry"
"AFG.57286","warm_temperate_dry","temperate_dry"
"AFG.57295","tropical_dry","tropical_dry"
"AFG.57296","tropical_dry","tropical_dry"
"AFG.57297","tropical_montane","tropical_moist"
"AFG.57298","tropical_dry","tropical_dry"
"AFG.57299","tropical_dry","tropical_dry"
"AFG.57300","tropical_dry","tropical_dry"
"AFG.57301","cool_temperate_dry","temperate_dry"
"AFG.57302","cool_temperate_dry","temperate_dry"
"AFG.57303","cool_temperate_dry","temperate_dry"
"AFG.57304","cool_temperate_dry","temperate_dry"
"AFG.57305","cool_temperate_dry","temperate_dry"
"AFG.57306","cool_temperate_dry","temperate_dry"
"AFG.57307","cool_temperate_dry","temperate_dry"
"AFG.57308","warm_temperate_dry","temperate_dry"
"AFG.57309","warm_temperate_dry","temperate_dry"
"AFG.57318","tropical_dry","tropical_dry"
"AFG.57319","tropical_dry","tropical_dry"
"AFG.57320","tropical_montane","tropical_moist"
"AFG.57321","tropical_dry","tropical_dry"
"AFG.57322","tropical_dry","tropical_dry"
"AFG.57323","warm_temperate_dry","temperate_dry"
"AFG.57324","cool_temperate_dry","temperate_dry"
