X;CountryCode;RegionCode;H12
Afghanistan;AFG;Southern Asia;OAS
Aland Islands;ALA;Europe;EUR
Albania;ALB;Europe;NEU
Algeria;DZA;Africa;MEA
American Samoa;ASM;South-East Asia and developing Pacific;OAS
Andorra;AND;Europe;NEU
Angola;AGO;Africa;SSA
Anguilla;AIA;Latin America and Caribbean;LAM
Antarctica;ATA;Latin America and Caribbean;LAM
Antigua and Barbuda;ATG;Latin America and Caribbean;LAM
Argentina;ARG;Latin America and Caribbean;LAM
Armenia;ARM;Eurasia;REF
Aruba;ABW;Latin America and Caribbean;LAM
Australia;AUS;Asia-Pacific Developed;CAZ
Austria;AUT;Europe;EUR
Azerbaijan;AZE;Eurasia;REF
Bahamas;BHS;Latin America and Caribbean;LAM
Bahrain;BHR;Middle East;MEA
Bangladesh;BGD;Southern Asia;OAS
Barbados;BRB;Latin America and Caribbean;LAM
Belarus;BLR;Eurasia;REF
Belgium;BEL;Europe;EUR
Belize;BLZ;Latin America and Caribbean;LAM
Benin;BEN;Africa;SSA
Bermuda;BMU;Latin America and Caribbean;LAM
Bhutan;BTN;Southern Asia;OAS
Bolivia, Plurinational State of;BOL;Latin America and Caribbean;LAM
Bonaire, Sint Eustatius and Saba;BES;Latin America and Caribbean;LAM
Bosnia and Herzegovina;BIH;Europe;NEU
Botswana;BWA;Africa;SSA
Bouvet Island;BVT;Latin America and Caribbean;LAM
Brazil;BRA;Latin America and Caribbean;LAM
British Indian Ocean Territory;IOT;South-East Asia and developing Pacific;OAS
Brunei Darussalam;BRN;South-East Asia and developing Pacific;OAS
Bulgaria;BGR;Europe;EUR
Burkina Faso;BFA;Africa;SSA
Burundi;BDI;Africa;SSA
Cambodia;KHM;South-East Asia and developing Pacific;OAS
Cameroon;CMR;Africa;SSA
Canada;CAN;North America;CAZ
Cape Verde;CPV;Africa;SSA
Cayman Islands;CYM;Latin America and Caribbean;LAM
Central African Republic;CAF;Africa;SSA
Chad;TCD;Africa;SSA
