countryname;country;region;superregion
Aruba;ABW;LAM;LAM
Afghanistan;AFG;AFG;OAS
Angola;AGO;AGO;SSA
Anguilla;AIA;LAM;LAM
Aland Islands;ALA;EUR;EUR
Albania;ALB;ALB;NEU
Andorra;AND;NEU;NEU
United Arab Emirates;ARE;ARE;MEA
Argentina;ARG;ARG;LAM
Armenia;ARM;ARM;REF
American Samoa;ASM;OAS;OAS
Antarctica;ATA;LAM;LAM
French Southern Territories;ATF;OAS;OAS
Antigua and Barbuda;ATG;ATG;LAM
Australia;AUS;AUS;CAZ
Austria;AUT;AUT;EUR
Azerbaijan;AZE;AZE;REF
Burundi;BDI;SSA;SSA
Belgium;BEL;BEL;EUR
Benin;BEN;BEN;SSA
Bonaire, Sint Eustatius and Saba;BES;LAM;LAM
Burkina Faso;BFA;BFA;SSA
Bangladesh;BGD;BGD;OAS
Bulgaria;BGR;BGR;EUR
Bahrain;BHR;MEA;MEA
Bahamas;BHS;BHS;LAM
Bosnia and Herzegovina;BIH;BIH;NEU
Saint Barthelemy;BLM;LAM;LAM
Belarus;BLR;BLR;REF
Belize;BLZ;BLZ;LAM
Bermuda;BMU;BMU;LAM
Bolivia, Plurinational State of;BOL;BOL;LAM
Brazil;BRA;BRA;LAM
Barbados;BRB;BRB;LAM
Brunei Darussalam;BRN;BRN;OAS
Bhutan;BTN;OAS;OAS
Bouvet Island;BVT;LAM;LAM
Botswana;BWA;BWA;SSA
Central African Republic;CAF;CAF;SSA
Canada;CAN;CAN;CAZ
Cocos (Keeling) Islands;CCK;OAS;OAS
China;CHN;CHN;CHA
Switzerland;CHE;CHE;NEU
Chile;CHL;CHL;LAM
Cote d Ivoire;CIV;CIV;SSA
Cameroon;CMR;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA;SSA
Congo;COG;COG;SSA
Cook Islands;COK;OAS;OAS
Colombia;COL;COL;LAM
Comoros;COM;SSA;SSA
Cape Verde;CPV;CPV;SSA
Costa Rica;CRI;CRI;LAM
Cuba;CUB;CUB;LAM
Curacao;CUW;LAM;LAM
Christmas Island;CXR;OAS;OAS
Cayman Islands;CYM;LAM;LAM
Cyprus;CYP;CYP;EUR
Czech Republic;CZE;CZE;EUR
Germany;DEU;DEU;EUR
Djibouti;DJI;DJI;SSA
Dominica;DMA;DMA;LAM
Denmark;DNK;DNK;EUR
Dominican Republic;DOM;DOM;LAM
Algeria;DZA;DZA;MEA
Ecuador;ECU;ECU;LAM
Egypt;EGY;EGY;MEA
Eritrea;ERI;SSA;SSA
Western Sahara;ESH;MEA;MEA
Spain;ESP;ESP;EUR
Estonia;EST;EST;EUR
Ethiopia;ETH;ETH;SSA
Finland;FIN;FIN;EUR
Fiji;FJI;FJI;OAS
Falkland Islands (Malvinas);FLK;LAM;LAM
France;FRA;FRA;EUR
Faroe Islands;FRO;EUR;EUR
Micronesia, Federated States of;FSM;OAS;OAS
Gabon;GAB;GAB;SSA
United Kingdom;GBR;GBR;EUR
Georgia;GEO;GEO;REF
Guernsey;GGY;EUR;EUR
Ghana;GHA;GHA;SSA
Gibraltar;GIB;EUR;EUR
Guinea;GIN;GIN;SSA
Guadeloupe;GLP;LAM;LAM
Gambia;GMB;GMB;SSA
Guinea-Bissau;GNB;GNB;SSA
Equatorial Guinea;GNQ;SSA;SSA
Greece;GRC;GRC;EUR
Grenada;GRD;GRD;LAM
Greenland;GRL;NEU;NEU
Guatemala;GTM;GTM;LAM
French Guiana;GUF;LAM;LAM
Guam;GUM;OAS;OAS
Guyana;GUY;GUY;LAM
Hong Kong;HKG;HKG;CHA
Heard Island and McDonald Islands;HMD;CAZ;CAZ
Honduras;HND;HND;LAM
Croatia;HRV;HRV;EUR
Haiti;HTI;HTI;LAM
Hungary;HUN;HUN;EUR
Indonesia;IDN;IDN;OAS
Isle of Man;IMN;EUR;EUR
India;IND;IND;IND
British Indian Ocean Territory;IOT;OAS;OAS
Ireland;IRL;IRL;EUR
Iran, Islamic Republic of;IRN;IRN;MEA
Iraq;IRQ;IRQ;MEA
Iceland;ISL;ISL;NEU
Israel;ISR;ISR;MEA
Italy;ITA;ITA;EUR
Jamaica;JAM;JAM;LAM
Jersey;JEY;EUR;EUR
Jordan;JOR;JOR;MEA
Japan;JPN;JPN;JPN
Kazakhstan;KAZ;KAZ;REF
Kenya;KEN;KEN;SSA
Kyrgyzstan;KGZ;KGZ;REF
Cambodia;KHM;KHM;OAS
Kiribati;KIR;KIR;OAS
Saint Kitts and Nevis;KNA;KNA;LAM
Korea, Republic of;KOR;KOR;OAS
Kuwait;KWT;KWT;MEA
Lao People's Democratic Republic;LAO;LAO;OAS
Lebanon;LBN;LBN;MEA
Liberia;LBR;LBR;SSA
Libya;LBY;LBY;MEA
Saint Lucia;LCA;LCA;LAM
Liechtenstein;LIE;NEU;NEU
Sri Lanka;LKA;LKA;OAS
Lesotho;LSO;LSO;SSA
Lithuania;LTU;LTU;EUR
Luxembourg;LUX;LUX;EUR
Latvia;LVA;LVA;EUR
Macao;MAC;MAC;CHA
Saint Martin (French part);MAF;LAM;LAM
Morocco;MAR;MAR;MEA
Monaco;MCO;NEU;NEU
Moldova, Republic of;MDA;MDA;REF
Madagascar;MDG;MDG;SSA
Maldives;MDV;MDV;OAS
Mexico;MEX;MEX;LAM
Marshall Islands;MHL;OAS;OAS
Macedonia, the former Yugoslav Republic of;MKD;MKD;NEU
Mali;MLI;MLI;SSA
Malta;MLT;MLT;EUR
Myanmar;MMR;MMR;OAS
Montenegro;MNE;MNE;NEU
Mongolia;MNG;MNG;OAS
Northern Mariana Islands;MNP;OAS;OAS
Mozambique;MOZ;MOZ;SSA
Mauritania;MRT;MRT;SSA
Montserrat;MSR;LAM;LAM
Martinique;MTQ;LAM;LAM
Mauritius;MUS;MUS;SSA
Malawi;MWI;MWI;SSA
Malaysia;MYS;MYS;OAS
Mayotte;MYT;SSA;SSA
Namibia;NAM;NAM;SSA
New Caledonia;NCL;NCL;OAS
Niger;NER;NER;SSA
Norfolk Island;NFK;OAS;OAS
Nigeria;NGA;NGA;SSA
Nicaragua;NIC;NIC;LAM
Niue;NIU;OAS;OAS
Netherlands;NLD;NLD;EUR
Norway;NOR;NOR;NEU
Nepal;NPL;NPL;OAS
Nauru;NRU;OAS;OAS
New Zealand;NZL;NZL;CAZ
Oman;OMN;MEA;MEA
Pakistan;PAK;PAK;OAS
Panama;PAN;PAN;LAM
Pitcairn;PCN;OAS;OAS
Peru;PER;PER;LAM
Philippines;PHL;PHL;OAS
Palau;PLW;OAS;OAS
Papua New Guinea;PNG;OAS;OAS
Poland;POL;POL;EUR
Puerto Rico;PRI;LAM;LAM
Korea, Democratic People's Republic of;PRK;PRK;OAS
Portugal;PRT;PRT;EUR
Paraguay;PRY;PRY;LAM
Palestine, State of;PSE;MEA;MEA
French Polynesia;PYF;PYF;OAS
Qatar;QAT;MEA;MEA
Reunion;REU;SSA;SSA
Romania;ROU;ROU;EUR
Russian Federation;RUS;RUS;REF
Rwanda;RWA;RWA;SSA
Saudi Arabia;SAU;SAU;MEA
Sudan;SDN;SDN;MEA
Senegal;SEN;SEN;SSA
Singapore;SGP;OAS;OAS
South Georgia and the South Sandwich Islands;SGS;LAM;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA;SSA
Svalbard and Jan Mayen;SJM;NEU;NEU
Solomon Islands;SLB;SLB;OAS
