X;CountryCode;RegionCode
Aruba;ABW;MNR
Afghanistan;AFG;MNR
Angola;AGO;MNR
Anguilla;AIA;MNR
Aland Islands;ALA;MNR
Albania;ALB;MNR
Andorra;AND;MNR
United Arab Emirates;ARE;MNR
Argentina;ARG;MNR
Armenia;ARM;MNR
American Samoa;ASM;MNR
Antarctica;ATA;MNR
French Southern Territories;ATF;MNR
Antigua and Barbuda;ATG;MNR
Australia;AUS;MNR
Austria;AUT;MNR
Azerbaijan;AZE;MNR
Burundi;BDI;MNR
Belgium;BEL;MNR
Benin;BEN;MNR
Bonaire, Sint Eustatius and Saba;BES;MNR
Burkina Faso;BFA;MNR
Bangladesh;BGD;MNR
Bulgaria;BGR;MNR
Bahrain;BHR;MNR
Bahamas;BHS;MNR
Bosnia and Herzegovina;BIH;MNR
Saint Barthelemy;BLM;MNR
Belarus;BLR;MNR
Belize;BLZ;MNR
Bermuda;BMU;MNR
Bolivia, Plurinational State of;BOL;MNR
Brazil;BRA;MNR
Barbados;BRB;MNR
Brunei Darussalam;BRN;MNR
Bhutan;BTN;MNR
Bouvet Island;BVT;MNR
Botswana;BWA;MNR
Central African Republic;CAF;MNR
Canada;CAN;MNR
Cocos (Keeling) Islands;CCK;MNR
China;CHN;MNR
Switzerland;CHE;MNR
Chile;CHL;MNR
Cote d Ivoire;CIV;MNR
Cameroon;CMR;MNR
Congo, the Democratic Republic of the;COD;MNR
Congo;COG;MNR
Cook Islands;COK;MNR
Colombia;COL;MNR
Comoros;COM;MNR
Cape Verde;CPV;MNR
Costa Rica;CRI;MNR
Cuba;CUB;MNR
Curacao;CUW;MNR
Christmas Island;CXR;MNR
Cayman Islands;CYM;MNR
Cyprus;CYP;MNR
Czech Republic;CZE;MNR
Germany;DEU;MNR
Djibouti;DJI;MNR
Dominica;DMA;MNR
Denmark;DNK;MNR
Dominican Republic;DOM;MNR
Algeria;DZA;MNR
Ecuador;ECU;MNR
Egypt;EGY;MNR
Eritrea;ERI;MNR
Western Sahara;ESH;MNR
Spain;ESP;MNR
Estonia;EST;MNR
Ethiopia;ETH;MNR
Finland;FIN;MNR
Fiji;FJI;MNR
