X;CountryCode;RegionCode
Afghanistan;AFG;SEA
Aland Islands;ALA;EUR
Albania;ALB;EUR
Algeria;DZA;ROW
American Samoa;ASM;SEA
Andorra;AND;EUR
Angola;AGO;ROW
Anguilla;AIA;NAA
Antarctica;ATA;NAA
Antigua and Barbuda;ATG;NAA
Argentina;ARG;NAA
Armenia;ARM;ROW
Aruba;ABW;NAA
Australia;AUS;NAA
Austria;AUT;EUR
Azerbaijan;AZE;ROW
Bahamas;BHS;NAA
Bahrain;BHR;MEC
Bangladesh;BGD;SEA
Barbados;BRB;NAA
Belarus;BLR;ROW
Belgium;BEL;EUR
Belize;BLZ;NAA
Benin;BEN;ROW
Bermuda;BMU;NAA
Bhutan;BTN;SEA
Bolivia, Plurinational State of;BOL;NAA
Bonaire, Sint Eustatius and Saba;BES;ROW
Bosnia and Herzegovina;BIH;EUR
Botswana;BWA;ROW
Bouvet Island;BVT;NAA
Brazil;BRA;NAA
British Indian Ocean Territory;IOT;SEA
Brunei Darussalam;BRN;SEA
Bulgaria;BGR;EUR
Burkina Faso;BFA;ROW
Burundi;BDI;ROW
Cambodia;KHM;SEA
Cameroon;CMR;ROW
Canada;CAN;NAA
Cape Verde;CPV;ROW
Cayman Islands;CYM;NAA
Central African Republic;CAF;ROW
Chad;TCD;ROW
Chile;CHL;NAA
China;CHN;ROW
Christmas Island;CXR;SEA
Cocos (Keeling) Islands;CCK;SEA
Colombia;COL;NAA
Comoros;COM;ROW
Congo;COG;ROW
Congo, the Democratic Republic of the;COD;ROW
Cook Islands;COK;NAA
Costa Rica;CRI;NAA
Cote d Ivoire;CIV;ROW
Croatia;HRV;EUR
Cuba;CUB;NAA
Curacao;CUW;NAA
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Denmark;DNK;EUR
Djibouti;DJI;ROW
Dominica;DMA;NAA
Dominican Republic;DOM;NAA
Ecuador;ECU;NAA
Egypt;EGY;ROW
El Salvador;SLV;NAA
Equatorial Guinea;GNQ;ROW
Eritrea;ERI;ROW
Estonia;EST;EUR
Ethiopia;ETH;ROW
Falkland Islands (Malvinas);FLK;NAA
Faroe Islands;FRO;EUR
Fiji;FJI;NAA
Finland;FIN;EUR
France;FRA;EUR
French Guiana;GUF;NAA
French Polynesia;PYF;NAA
French Southern Territories;ATF;SEA
Gabon;GAB;ROW
Gambia;GMB;ROW
