X,CountryCode,EuroVoc,Renovation Costs,Domestic
Åland,ALA,Northern Europe,North,North countries
Albania,ALB,Central and Eastern Europe,East,South countries
Andorra,AND,Western Europe,Centre/West,South countries
Armenia,ARM,Central and Eastern Europe,East,Middle South countries
Austria,AUT,Western Europe,Centre/West,Middle South countries
Azerbaijan,AZE,Central and Eastern Europe,East,Middle South countries
Belarus,BLR,Central and Eastern Europe,East,Middle North countries
Belgium,BEL,Western Europe,Centre/West,Middle North countries
Bosnia and Herzegovina,BIH,Central and Eastern Europe,East,South countries
Bulgaria,BGR,Central and Eastern Europe,East,Middle South countries
Croatia,HRV,Central and Eastern Europe,East,South countries
Cyprus,CYP,Southern Europe,South,South countries
Czechia,CZE,Central and Eastern Europe,East,Middle North countries
Denmark,DNK,Northern Europe,North,North countries
Estonia,EST,Northern Europe,North,North countries
Faroe Islands,FRO,Northern Europe,North,North countries
Finland,FIN,Northern Europe,North,North countries
France,FRA,Western Europe,Centre/West,Middle South countries
Georgia,GEO,Central and Eastern Europe,East,Middle South countries
Germany,DEU,Western Europe,Centre/West,Middle North countries
Gibraltar,GIB,Southern Europe,South,South countries
Greece,GRC,Southern Europe,South,South countries
Guernsey,GGY,Western Europe,Centre/West,North countries
Holy See,VAT,Southern Europe,South,South countries
Hungary,HUN,Central and Eastern Europe,East,Middle South countries
Iceland,ISL,Northern Europe,North,North countries
Ireland,IRL,Western Europe,Centre/West,North countries
Isle of Man,IMN,Western Europe,Centre/West,North countries
Italy,ITA,Southern Europe,South,South countries
Jersey ,JEY,Western Europe,Centre/West,North countries
Kosovo,KOS,Central and Eastern Europe,East,Middle South countries
Latvia,LVA,Northern Europe,North,North countries
Liechtenstein,LIE,Western Europe,Centre/West,Middle South countries
Lithuania,LTU,Northern Europe,North,North countries
Luxembourg,LUX,Western Europe,Centre/West,Middle North countries
Malta,MLT,Southern Europe,South,South countries
Moldova,MDA,Central and Eastern Europe,East,South countries
Monaco,MCO,Western Europe,Centre/West,Middle South countries
Montenegro,MNE,Central and Eastern Europe,East,South countries
Netherlands,NLD,Western Europe,Centre/West,Middle North countries
North Macedonia,MKD,Central and Eastern Europe,East,South countries
Norway,NOR,Northern Europe,North,North countries
Poland,POL,Central and Eastern Europe,East,Middle North countries
Portugal,PRT,Southern Europe,South,South countries
Romania,ROU,Central and Eastern Europe,East,Middle South countries
Russia,RUS,Central and Eastern Europe,East,Middle North countries
San Marino,SMR,Southern Europe,South,South countries
Serbia,SRB,Central and Eastern Europe,East,South countries
Serbia and Montenegro,SCG,Central and Eastern Europe,East,South countries
Slovakia,SVK,Central and Eastern Europe,East,Middle South countries
Slovenia,SVN,Central and Eastern Europe,East,Middle South countries
Spain,ESP,Southern Europe,South,South countries
Sweden,SWE,Northern Europe,North,North countries
Switzerland,CHE,Western Europe,Centre/West,Middle South countries
Türkiye,TUR,Southern Europe,South,South countries
Ukraine,UKR,Central and Eastern Europe,East,Middle North countries
United Kingdom,GBR,Western Europe,Centre/West,North countries
