"X","CountryCode","GTAPCode","GTAPDescription"
"Albania","ALB","ALB","Albania"
"United Arab Emirates","ARE","ARE","United Arab Emirates"
"Argentina","ARG","ARG","Argentina"
"Armenia","ARM","ARM","Armenia"
"Australia","AUS","AUS","Australia"
"Cocos (Keeling) Islands","CCK","AUS","Australia"
"Christmas Island","CXR","AUS","Australia"
"Heard Island and McDonald Islands","HMD","AUS","Australia"
"Norfolk Island","NFK","AUS","Australia"
"Austria","AUT","AUT","Austria"
"Azerbaijan","AZE","AZE","Azerbaijan"
"Belgium","BEL","BEL","Belgium"
"Benin","BEN","BEN","Rest of Western Africa"
"Burkina Faso","BFA","BFA","Rest of Western Africa"
"Bangladesh","BGD","BGD","Bangladesh"
"Bulgaria","BGR","BGR","Bulgaria"
"Bahrain","BHR","BHR","Bahrain"
"Belarus","BLR","BLR","Belarus"
"Bolivia, Plurinational Republic of","BOL","BOL","Bolivia, Plurinational Republic of"
"Brazil","BRA","BRA","Brazil"
"Botswana","BWA","BWA","Botswana"
"Canada","CAN","CAN","Canada"
"Switzerland","CHE","CHE","Switzerland"
"Chile","CHL","CHL","Chile"
"China","CHN","CHN","China"
"Cote d'Ivoire","CIV","CIV","Cote d'Ivoire"
"Cameroon","CMR","CMR","Cameroon"
"Colombia","COL","COL","Colombia"
"Costa Rica","CRI","CRI","Costa Rica"
"Cyprus","CYP","CYP","Cyprus"
"Czech Republic","CZE","CZE","Czech Republic"
"Germany","DEU","DEU","Germany"
"Denmark","DNK","DNK","Denmark"
"Ecuador","ECU","ECU","Ecuador"
"Egypt","EGY","EGY","Egypt"
"Spain","ESP","ESP","Spain"
"Estonia","EST","EST","Estonia"
"Ethiopia","ETH","ETH","Ethiopia"
"Finland","FIN","FIN","Finland"
"Aland Islands","ALA","FIN","Finland"
"France","FRA","FRA","France"
"Guadeloupe","GLP","FRA","France"
"Martinique","MTQ","FRA","France"
"Reunion","REU","FRA","France"
"United Kingdom","GBR","GBR","United Kingdom"
"Georgia","GEO","GEO","Georgia"
"Ghana","GHA","GHA","Ghana"
"Guinea","GIN","GIN","Rest of Western Africa"
"Greece","GRC","GRC","Greece"
"Guatemala","GTM","GTM","Guatemala"
"Hong Kong","HKG","HKG","Hong Kong"
"Honduras","HND","HND","Honduras"
"Croatia","HRV","HRV","Croatia"
"Hungary","HUN","HUN","Hungary"
"Indonesia","IDN","IDN","Indonesia"
"India","IND","IND","India"
"Ireland","IRL","IRL","Ireland"
"Iran Islamic Republic of","IRN","IRN","Iran Islamic Republic of"
"Israel","ISR","ISR","Israel"
"Italy","ITA","ITA","Italy"
"Japan","JPN","JPN","Japan"
"Kazakhstan","KAZ","KAZ","Kazakhstan"
"Kenya","KEN","KEN","Kenya"
"Kyrgyzstan","KGZ","KGZ","Kyrgyzstan"
"Cambodia","KHM","KHM","Cambodia"
"Korea Republic of","KOR","KOR","Korea Republic of"
"Kuwait","KWT","KWT","Kuwait"
"Lao People's Democratic Republic","LAO","LAO","Lao People's Democratic Republic"
"Sri Lanka","LKA","LKA","Sri Lanka"
"Lithuania","LTU","LTU","Lithuania"
"Luxembourg","LUX","LUX","Luxembourg"
"Latvia","LVA","LVA","Latvia"
"Morocco","MAR","MAR","Morocco"
"Madagascar","MDG","MDG","Madagascar"
"Mexico","MEX","MEX","Mexico"
"Malta","MLT","MLT","Malta"
"Mongolia","MNG","MNG","Mongolia"
"Mozambique","MOZ","MOZ","Mozambique"
"Mauritius","MUS","MUS","Mauritius"
"Malawi","MWI","MWI","Malawi"
"Malaysia","MYS","MYS","Malaysia"
"Namibia","NAM","NAM","Namibia"
"Nigeria","NGA","NGA","Nigeria"
"Nicaragua","NIC","NIC","Nicaragua"
"Netherlands","NLD","NLD","Netherlands"
"Norway","NOR","NOR","Norway"
"Svalbard and Jan Mayen","SJM","NOR","Norway"
"Nepal","NPL","NPL","Nepal"
"New Zealand","NZL","NZL","New Zealand"
"Oman","OMN","OMN","Oman"
"Pakistan","PAK","PAK","Pakistan"
"Panama","PAN","PAN","Panama"
"Peru","PER","PER","Peru"
"Philippines","PHL","PHL","Philippines"
"Poland","POL","POL","Poland"
"Portugal","PRT","PRT","Portugal"
"Paraguay","PRY","PRY","Paraguay"
"Qatar","QAT","QAT","Qatar"
"Romania","ROU","ROU","Romania"
"Russian Federation","RUS","RUS","Russian Federation"
"Rwanda","RWA","RWA","Rest of Eastern Africa"
"Saudi Arabia","SAU","SAU","Saudi Arabia"
"Senegal","SEN","SEN","Senegal"
"Singapore","SGP","SGP","Singapore"
"El Salvador","SLV","SLV","El Salvador"
"Slovakia","SVK","SVK","Slovakia"
"Slovenia","SVN","SVN","Slovenia"
"Sweden","SWE","SWE","Sweden"
"Togo","TGO","TGO","Rest of Western Africa"
"Thailand","THA","THA","Thailand"
"Tunisia","TUN","TUN","Tunisia"
"Turkey","TUR","TUR","Turkey"
"Taiwan","TWN","TWN","Taiwan"
"Tanzania United Republic of","TZA","TZA","Tanzania United Republic of"
"Uganda","UGA","UGA","Uganda"
"Ukraine","UKR","UKR","Ukraine"
"Uruguay","URY","URY","Uruguay"
"United States of America","USA","USA","United States of America"
"Venezuela","VEN","VEN","Venezuela"
"Viet Nam","VNM","VNM","Viet Nam"
"South Africa","ZAF","ZAF","South Africa"
"Zambia","ZMB","ZMB","Zambia"
"Zimbabwe","ZWE","ZWE","Zimbabwe"
"Angola","AGO","XAC","South Central Africa"
"Congo the Democratic Republic of the","COD","XAC","South Central Africa"
"Belize","BLZ","XCA","Rest of Central America"
"Aruba","ABW","XCB","Caribbean"
"Anguilla","AIA","XCB","Caribbean"
"Bonaire, Sint Eustatius and Saba","BES","XCB","Caribbean"
"Saint Barthelemy","BLM","XCB","Caribbean"
"Curacao","CUW","XCB","Caribbean"
"Saint Martin (French part)","MAF","XCB","Caribbean"
