X;CountryCode;RegionCode
Afghanistan;AFG;ASIA
Angola;AGO;MAF
Albania;ALB;REF
United Arab Emirates;ARE;MAF
Argentina;ARG;LAM
Armenia;ARM;REF
Australia;AUS;OECD
Austria;AUT;OECD
Azerbaijan;AZE;REF
Burundi;BDI;MAF
Belgium;BEL;OECD
Benin;BEN;MAF
Burkina Faso;BFA;MAF
Bangladesh;BGD;ASIA
Bulgaria;BGR;REF
Bahrain;BHR;MAF
Bahamas;BHS;LAM
Bosnia and Herzegovina;BIH;REF
Belarus;BLR;REF
Belize;BLZ;LAM
Bolivia, Plurinational State of;BOL;LAM
Brazil;BRA;LAM
Brunei Darussalam;BRN;ASIA
Bhutan;BTN;ASIA
Botswana;BWA;MAF
Central African Republic;CAF;MAF
Canada;CAN;OECD
China;CHN;ASIA
Switzerland;CHE;OECD
Chile;CHL;LAM
Cote d Ivoire;CIV;MAF
Cameroon;CMR;MAF
Congo, the Democratic Republic of the;COD;MAF
Congo;COG;MAF
Colombia;COL;LAM
Cape Verde;CPV;MAF
Costa Rica;CRI;LAM
Cuba;CUB;LAM
Czech Republic;CZE;REF
Germany;DEU;OECD
Djibouti;DJI;MAF
Denmark;DNK;OECD
Dominican Republic;DOM;LAM
Algeria;DZA;MAF
Ecuador;ECU;LAM
Egypt;EGY;MAF
Eritrea;ERI;MAF
Spain;ESP;OECD
Estonia;EST;REF
Ethiopia;ETH;MAF
Finland;FIN;OECD
Fiji;FJI;OECD
France;FRA;OECD
Gabon;GAB;MAF
United Kingdom;GBR;OECD
Georgia;GEO;REF
Ghana;GHA;MAF
Guinea;GIN;MAF
Guadeloupe;GLP;LAM
Gambia;GMB;MAF
Guinea-Bissau;GNB;MAF
Equatorial Guinea;GNQ;MAF
Greece;GRC;OECD
Grenada;GRD;LAM
Guatemala;GTM;LAM
French Guiana;GUF;LAM
Guam;GUM;OECD
Guyana;GUY;LAM
Hong Kong;HKG;ASIA
Honduras;HND;LAM
Croatia;HRV;REF
Haiti;HTI;LAM
Hungary;HUN;REF
Indonesia;IDN;ASIA
India;IND;ASIA
Ireland;IRL;OECD
Iran, Islamic Republic of;IRN;MAF
Iraq;IRQ;MAF
Iceland;ISL;OECD
Israel;ISR;MAF
Italy;ITA;OECD
Jamaica;JAM;LAM
Jordan;JOR;MAF
Japan;JPN;OECD
Kazakhstan;KAZ;REF
Kenya;KEN;MAF
Kyrgyzstan;KGZ;REF
Cambodia;KHM;ASIA
Korea, Republic of;KOR;ASIA
Kuwait;KWT;MAF
Lao People's Democratic Republic;LAO;ASIA
Lebanon;LBN;MAF
Liberia;LBR;MAF
Libya;LBY;MAF
Sri Lanka;LKA;ASIA
Lesotho;LSO;MAF
Lithuania;LTU;REF
Luxembourg;LUX;OECD
Latvia;LVA;REF
Macao;MAC;ASIA
Morocco;MAR;MAF
Moldova, Republic of;MDA;REF
Madagascar;MDG;MAF
Mexico;MEX;LAM
Macedonia, the former Yugoslav Republic of;MKD;REF
Mali;MLI;MAF
Malta;MLT;OECD
Myanmar;MMR;ASIA
Montenegro;MNE;REF
Mongolia;MNG;ASIA
Mozambique;MOZ;MAF
Mauritania;MRT;MAF
Mauritius;MUS;MAF
Malawi;MWI;MAF
Malaysia;MYS;ASIA
Namibia;NAM;MAF
New Caledonia;NCL;OECD
Niger;NER;MAF
Nigeria;NGA;MAF
Nicaragua;NIC;LAM
Netherlands;NLD;OECD
Norway;NOR;OECD
Nepal;NPL;ASIA
New Zealand;NZL;OECD
Oman;OMN;MAF
Pakistan;PAK;ASIA
Panama;PAN;LAM
Peru;PER;LAM
Philippines;PHL;ASIA
Papua New Guinea;PNG;ASIA
Poland;POL;REF
Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;ASIA
Portugal;PRT;OECD
Paraguay;PRY;LAM
Qatar;QAT;MAF
Reunion;REU;MAF
Romania;ROU;REF
Russian Federation;RUS;REF
Rwanda;RWA;MAF
Saudi Arabia;SAU;MAF
Sudan;SDN;MAF
Senegal;SEN;MAF
Singapore;SGP;ASIA
Solomon Islands;SLB;OECD
Sierra Leone;SLE;MAF
El Salvador;SLV;LAM
Somalia;SOM;MAF
Serbia;SRB;REF
South Sudan;SSD;MAF
Suriname;SUR;LAM
Slovakia;SVK;REF
Slovenia;SVN;REF
Sweden;SWE;OECD
Swaziland;SWZ;MAF
Sint Maarten (Dutch part);SXM;LAM
Syrian Arab Republic;SYR;MAF
Chad;TCD;MAF
Togo;TGO;MAF
Thailand;THA;ASIA
Tajikistan;TJK;REF
Turkmenistan;TKM;REF
Timor-Leste;TLS;ASIA
Tonga;TON;ASIA
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MAF
Turkey;TUR;OECD
Taiwan, Province of China;TWN;ASIA
Tanzania, United Republic of;TZA;MAF
Uganda;UGA;MAF
Ukraine;UKR;REF
Uruguay;URY;LAM
United States;USA;OECD
Uzbekistan;UZB;REF
Venezuela, Bolivarian Republic of;VEN;LAM
Viet Nam;VNM;ASIA
Vanuatu;VUT;OECD
Samoa;WSM;OECD
Yemen;YEM;MAF
South Africa;ZAF;MAF
Zambia;ZMB;MAF
Zimbabwe;ZWE;MAF
Aruba;ABW;LAM
Anguilla;AIA;LAM
Aland Islands;ALA;OECD
Andorra;AND;OECD
American Samoa;ASM;ASIA
Antarctica;ATA;LAM
French Southern Territories;ATF;ASIA
Antigua and Barbuda;ATG;LAM
Bonaire, Sint Eustatius and Saba;BES;LAM
Saint Barthelemy;BLM;LAM
Bermuda;BMU;LAM
Barbados;BRB;LAM
Bouvet Island;BVT;LAM
Cocos (Keeling) Islands;CCK;ASIA
Cook Islands;COK;ASIA
Comoros;COM;MAF
Curacao;CUW;LAM
Christmas Island;CXR;ASIA
Cayman Islands;CYM;LAM
Cyprus;CYP;OECD
Dominica;DMA;LAM
Western Sahara;ESH;MAF
Falkland Islands (Malvinas);FLK;LAM
Faroe Islands;FRO;OECD
Micronesia, Federated States of;FSM;ASIA
Guernsey;GGY;OECD
Gibraltar;GIB;OECD
Greenland;GRL;OECD
Heard Island and McDonald Islands;HMD;OECD
Isle of Man;IMN;OECD
British Indian Ocean Territory;IOT;ASIA
Jersey;JEY;OECD
Kiribati;KIR;ASIA
Saint Kitts and Nevis;KNA;LAM
Saint Lucia;LCA;LAM
Liechtenstein;LIE;OECD
Saint Martin (French part);MAF;LAM
Monaco;MCO;OECD
Maldives;MDV;ASIA
Marshall Islands;MHL;ASIA
Northern Mariana Islands;MNP;ASIA
Montserrat;MSR;LAM
Martinique;MTQ;LAM
Mayotte;MYT;MAF
Norfolk Island;NFK;ASIA
Niue;NIU;ASIA
Nauru;NRU;ASIA
Pitcairn;PCN;ASIA
Palau;PLW;ASIA
Palestine, State of;PSE;MAF
French Polynesia;PYF;ASIA
South Georgia and the South Sandwich Islands;SGS;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;MAF
Svalbard and Jan Mayen;SJM;OECD
San Marino;SMR;OECD
Saint Pierre and Miquelon;SPM;OECD
Sao Tome and Principe;STP;MAF
Seychelles;SYC;MAF
Turks and Caicos Islands;TCA;LAM
Tokelau;TKL;ASIA
Tuvalu;TUV;ASIA
United States Minor Outlying Islands;UMI;ASIA
Holy See (Vatican City State);VAT;OECD
Saint Vincent and the Grenadines;VCT;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Wallis and Futuna;WLF;ASIA
