X;CountryCode;RegionCode
Aruba;ABW;Central America
Afghanistan;AFG;Rest of South Asia
Angola;AGO;Rest of South Africa
Anguilla;AIA;Central America
Aland Islands;ALA;West Europe
Albania;ALB;Central Europe
Andorra;AND;West Europe
United Arab Emirates;ARE;Middle East
Argentina;ARG;Rest of South-America
Armenia;ARM;Russia
American Samoa;ASM;Oceania
Antarctica;ATA;Rest of South-America
French Southern Territories;ATF;Oceania
Antigua and Barbuda;ATG;Central America
Australia;AUS;Oceania
Austria;AUT;West Europe
Azerbaijan;AZE;Russia
Burundi;BDI;East Africa
Belgium;BEL;West Europe
Benin;BEN;West Africa
Bonaire, Sint Eustatius and Saba;BES;Central America
Burkina Faso;BFA;West Africa
Bangladesh;BGD;Rest of South Asia
Bulgaria;BGR;Central Europe
Bahrain;BHR;Middle East
Bahamas;BHS;Central America
Bosnia and Herzegovina;BIH;Central Europe
Saint Barthelemy;BLM;Central America
Belarus;BLR;Central Europe
Belize;BLZ;Central America
Bermuda;BMU;Central America
Bolivia, Plurinational State of;BOL;Rest of South-America
Brazil;BRA;Brazil
Barbados;BRB;Central America
Brunei Darussalam;BRN;South East Asia
Bhutan;BTN;Rest of South Asia
Bouvet Island;BVT;Rest of South-America
Botswana;BWA;Rest of South Africa
Central African Republic;CAF;West Africa
Canada;CAN;Canada
Cocos (Keeling) Islands;CCK;South East Asia
Switzerland;CHE;West Europe
Chile;CHL;Rest of South-America
China;CHN;China+
Cote d Ivoire;CIV;West Africa
Cameroon;CMR;West Africa
Congo, the Democratic Republic of the;COD;West Africa
Congo;COG;West Africa
Cook Islands;COK;Oceania
Colombia;COL;Rest of South-America
Comoros;COM;East Africa
Cape Verde;CPV;West Africa
Costa Rica;CRI;Central America
Cuba;CUB;Central America
Curacao;CUW;Central America
Christmas Island;CXR;South East Asia
Cayman Islands;CYM;Central America
Cyprus;CYP;Central Europe
Czech Republic;CZE;Central Europe
Germany;DEU;West Europe
Djibouti;DJI;East Africa
Dominica;DMA;Central America
Denmark;DNK;West Europe
Dominican Republic;DOM;Central America
Algeria;DZA;North Africa
Ecuador;ECU;Rest of South-America
Egypt;EGY;North Africa
Eritrea;ERI;East Africa
Western Sahara;ESH;North Africa
Spain;ESP;West Europe
