"country";"iso3";"image3_aggr"
"Aruba";"ABW";"Central America"
"Afghanistan";"AFG";"Rest of South Asia"
"Angola";"AGO";"Rest of Southern Africa"
"Anguilla";"AIA";"Central America"
"Aland Islands";"ALA";"Extra"
"Albania";"ALB";"Central Europe"
"Andorra";"AND";"Western Europe"
"United Arab Emirates";"ARE";"Middle East"
"Argentina";"ARG";"Rest of South America"
"Armenia";"ARM";"Russia region"
"American Samoa";"ASM";"Oceania"
"Antarctica";"ATA";"Extra"
"French Southern Territories";"ATF";"Extra"
"Antigua and Barbuda";"ATG";"Extra"
"Australia";"AUS";"Oceania"
"Austria";"AUT";"Western Europe"
"Azerbaijan";"AZE";"Russia region"
"Burundi";"BDI";"Eastern Africa"
"Belgium";"BEL";"Western Europe"
"Benin";"BEN";"Western Africa"
"Bonaire, Sint Eustatius and Saba";"BES";"Extra"
"Burkina Faso";"BFA";"Western Africa"
"Bangladesh";"BGD";"Rest of South Asia"
"Bulgaria";"BGR";"Central Europe"
"Bahrain";"BHR";"Middle East"
"Bahamas";"BHS";"Central America"
"Bosnia and Herzegovina";"BIH";"Central Europe"
"Saint Barthelemy";"BLM";"Extra"
"Belarus";"BLR";"Ukraine region"
"Belize";"BLZ";"Central America"
"Bermuda";"BMU";"Central America"
"Bolivia, Plurinational State of";"BOL";"Rest of South America"
"Brazil";"BRA";"Brazil"
"Barbados";"BRB";"Central America"
"Brunei Darussalam";"BRN";"Southeastern Asia"
"Bhutan";"BTN";"Rest of South Asia"
"Bouvet Island";"BVT";"Extra"
"Botswana";"BWA";"Rest of Southern Africa"
"Central African Republic";"CAF";"Western Africa"
"Canada";"CAN";"Canada"
"Cocos (Keeling) Islands";"CCK";"Extra"
"Switzerland";"CHE";"Western Europe"
"Chile";"CHL";"Rest of South America"
"China";"CHN";"China region"
"Cote d Ivoire";"CIV";"Western Africa"
"Cameroon";"CMR";"Western Africa"
"Congo, the Democratic Republic of the";"COD";"Western Africa"
"Congo";"COG";"Western Africa"
"Cook Islands";"COK";"Oceania"
"Colombia";"COL";"Rest of South America"
"Comoros";"COM";"Eastern Africa"
"Cape Verde";"CPV";"Western Africa"
"Costa Rica";"CRI";"Central America"
"Cuba";"CUB";"Extra"
