REMIND_variable;AGEB_variable;Weight;Unit_REMIND;Unit_AGEB;Factor;Comment
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Steinkohle;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Braunkohle;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Mineralöle;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Gase;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Erdgas, Erdölgas;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Erneuerbare Energien;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Sonstige Energieträger;;;;;
;1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Insgesamt;;;;;
Trade|Imports|Coal;1_2 Einfuhr|Steinkohle;1;EJ/yr;PJ;0.001;
Trade|Imports|Coal;1_2 Einfuhr|Braunkohle;1;EJ/yr;PJ;0.001;
Trade|Imports|Oil;1_2 Einfuhr|Mineralöle;1;EJ/yr;PJ;0.001;
Trade|Imports|Gas;1_2 Einfuhr|Gase;1;EJ/yr;PJ;0.001;
;1_2 Einfuhr|Erdgas, Erdölgas;;;;;
;1_2 Einfuhr|Erneuerbare Energien;;;;;
;1_2 Einfuhr|Sonstige Energieträger;;;;;
Trade|Imports|SE|Electricity;1_2 Einfuhr|Strom;1;EJ/yr;PJ;0.001;
;1_2 Einfuhr|Kernenergie;;;;;
;1_2 Einfuhr|Insgesamt;;;;;
Trade|Exports|Coal;1_3 Ausfuhr|Steinkohle;1;EJ/yr;PJ;0.001;
Trade|Exports|Coal;1_3 Ausfuhr|Braunkohle;1;EJ/yr;PJ;0.001;
Trade|Exports|Oil;1_3 Ausfuhr|Mineralöle;1;EJ/yr;PJ;0.001;
Trade|Exports|Gas;1_3 Ausfuhr|Gase;1;EJ/yr;PJ;0.001;
;1_3 Ausfuhr|Erdgas, Erdölgas;;;;;
;1_3 Ausfuhr|Erneuerbare Energien;;;;;
;1_3 Ausfuhr|Sonstige Energieträger;;;;;
Trade|Exports|SE|Electricity;1_3 Ausfuhr|Strom;1;EJ/yr;PJ;0.001;
;1_3 Ausfuhr|Kernenergie;;;;;
;1_3 Ausfuhr|Insgesamt;;;;;
Trade|Coal;1_4 Nettoeinfuhr|Steinkohle;1;EJ/yr;PJ;-0.001;
Trade|Coal;1_4 Nettoeinfuhr|Braunkohle;1;EJ/yr;PJ;-0.001;
Trade|Oil;1_4 Nettoeinfuhr|Mineralöle;1;EJ/yr;PJ;-0.001;
Trade|Gas;1_4 Nettoeinfuhr|Gase;1;EJ/yr;PJ;-0.001;
;1_4 Nettoeinfuhr|Erdgas, Erdölgas;;;;;
;1_4 Nettoeinfuhr|Erneuerbare Energien;;;;;
;1_4 Nettoeinfuhr|Sonstige Energieträger;;;;;
Trade|SE|Electricity;1_4 Nettoeinfuhr|Strom;1;EJ/yr;PJ;0.001;
;1_4 Nettoeinfuhr|Kernenergie;;;;;
;1_4 Nettoeinfuhr|Insgesamt;;;;;
;1_5 Bunkerungen seegehender Schiffe|Dieselkraftstoff;;;;;
;1_5 Bunkerungen seegehender Schiffe|Heizöl, leicht;;;;;
;1_5 Bunkerungen seegehender Schiffe|Heizöl, schwer;;;;;
;1_5 Bunkerungen seegehender Schiffe|Andere Mineralölprodukte;;;;;
;1_5 Bunkerungen seegehender Schiffe|Insgesamt;;;;;
PE|Coal;2_1 Primaerenergieverbrauch nach Energietraegern|Steinkohle;1;EJ/yr;PJ;0.001;
PE|Coal;2_1 Primaerenergieverbrauch nach Energietraegern|Braunkohle;1;EJ/yr;PJ;0.001;
PE|Oil;2_1 Primaerenergieverbrauch nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
PE|Gas;2_1 Primaerenergieverbrauch nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;2_1 Primaerenergieverbrauch nach Energietraegern|Erdgas, Erdölgas;;;;;
;2_1 Primaerenergieverbrauch nach Energietraegern|Erneuerbare Energien;;;;;
;2_1 Primaerenergieverbrauch nach Energietraegern|Sonstige Energieträger;;;;;
;2_1 Primaerenergieverbrauch nach Energietraegern|Außenhandelssaldo Strom;;;;;
PE|Nuclear;2_1 Primaerenergieverbrauch nach Energietraegern|Kernenergie;1;EJ/yr;PJ;0.001;
PE;2_1 Primaerenergieverbrauch nach Energietraegern|Insgesamt;1;EJ/yr;PJ;0.001;
;2_2 Struktur des Energieverbrauchs nach Sektoren|Gewinnung im Inland;;;;;
;2_2 Struktur des Energieverbrauchs nach Sektoren|Primärenergieverbrauch;;;;;
;2_2 Struktur des Energieverbrauchs nach Sektoren|Umwandlungseinsatz;;;;;
;2_2 Struktur des Energieverbrauchs nach Sektoren|Umwandlungsausstoß;;;;;
;2_2 Struktur des Energieverbrauchs nach Sektoren|Sonst_ E_-Verbr_, Verluste;;;;;
FE|Non-energy Use|Industry;2_2 Struktur des Energieverbrauchs nach Sektoren|Nicht-energetischer Verbrauch;1;EJ/yr;PJ;0.001;
FE|w/o Non-energy Use w/o Bunkers;2_2 Struktur des Energieverbrauchs nach Sektoren|Endenergieverbrauch;1;EJ/yr;PJ;0.001;
FE|w/o Non-energy Use|Industry;2_2 Struktur des Energieverbrauchs nach Sektoren|Bergbau, Verarb_ Gewerbe;1;EJ/yr;PJ;0.001;
FE|Transport;2_2 Struktur des Energieverbrauchs nach Sektoren|Verkehr;1;EJ/yr;PJ;0.001;
FE|Buildings;2_2 Struktur des Energieverbrauchs nach Sektoren|Private Haushalte;1;EJ/yr;PJ;0.001;
FE|Buildings;2_2 Struktur des Energieverbrauchs nach Sektoren|Gewerbe, Handel, Dienstl_;1;EJ/yr;PJ;0.001;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Wasserkraft;;;;;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Windenergie;;;;;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Photovoltaik;;;;;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Solarthermie;;;;;
SE|Heat|Geothermal;3_1 Primaerenergieverbrauch erneuerbare Energien|Geothermie;1;EJ/yr;PJ;0.001;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Umweltwärme;;;;;
SE|Biomass;3_1 Primaerenergieverbrauch erneuerbare Energien|Biomasse;1;EJ/yr;PJ;0.001;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Biogene Abfälle;;;;;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Flüssige Biokraftstoffe;;;;;
;3_1 Primaerenergieverbrauch erneuerbare Energien|Insgesamt;;;;;
PE|Coal|Electricity;4_1 Einsatz von Energietraegern zur Stromerzeugung|Steinkohle;1;EJ/yr;PJ;0.001;
PE|Coal|Electricity;4_1 Einsatz von Energietraegern zur Stromerzeugung|Braunkohle;1;EJ/yr;PJ;0.001;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Mineralöle;;;;;
PE|Gas|Electricity;4_1 Einsatz von Energietraegern zur Stromerzeugung|Gase;1;EJ/yr;PJ;0.001;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Erdgas, Erdölgas;;;;;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Erneuerbare Energien;;;;;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Sonstige Energieträger;;;;;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Strom;;;;;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Kernenergie;;;;;
;4_1 Einsatz von Energietraegern zur Stromerzeugung|Insgesamt;;;;;
PE|Coal|Heat;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Steinkohle;1;EJ/yr;PJ;0.001;
PE|Coal|Heat;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Braunkohle;1;EJ/yr;PJ;0.001;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Mineralöle;;;;;
PE|Gas|Heat;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Gase;1;EJ/yr;PJ;0.001;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Erdgas, Erdölgas;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Erneuerbare Energien;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Sonstige Energieträger;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Strom;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Kernenergie;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Insgesamt;;;;;
FE|Solids|Fossil|Coal;6_1 Endenergieverbrauch nach Energieträgern|Steinkohle;1;EJ/yr;PJ;0.001;
FE|Solids|Fossil|Coal;6_1 Endenergieverbrauch nach Energietraegern|Braunkohle;1;EJ/yr;PJ;0.001;
FE|Liquids|Fossil|Oil;6_1 Endenergieverbrauch nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
FE|Gases|Fossil;6_1 Endenergieverbrauch nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
