generic;1p5DB;factor
Agricultural Demand (million t DM/yr);Agricultural Demand (million t DM/yr);1
Agricultural Demand|Bioenergy (million t DM/yr);Agricultural Demand|Crops|Energy (million t DM/yr);1
Agricultural Demand|Feed|Crops (million t DM/yr);Agricultural Demand|Crops|Feed (million t DM/yr);1
Agricultural Demand|Food|Crops (million t DM/yr);Agricultural Demand|Crops|Food (million t DM/yr);1
Agricultural Demand|Non-Food|Crops (million t DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1
Agricultural Demand|Food|Livestock (million t DM/yr);Agricultural Demand|Livestock|Food (million t DM/yr);1
Agricultural Demand|Non-Food|Livestock (million t DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1
Agricultural Production (million t DM/yr);Agricultural Production (million t DM/yr);1
Agricultural Production|Energy Crops (million t DM/yr);Agricultural Production|Energy|Crops (million t DM/yr);1
Agricultural Production|Non-Energy Crops (million t DM/yr);Agricultural Production|Non-Energy|Crops (million t DM/yr);1
Agricultural Production|Livestock (million t DM/yr);Agricultural Production|Non-Energy|Livestock (million t DM/yr);1
Cap|Electricity (GW);Capacity|Electricity (GW);1
Cap|Electricity|Biomass (GW);Capacity|Electricity|Biomass (GW);1
Cap|Electricity|Coal (GW);Capacity|Electricity|Coal (GW);1
Cap|Electricity|Gas (GW);Capacity|Electricity|Gas (GW);1
Cap|Electricity|Hydro (GW);Capacity|Electricity|Hydro (GW);1
Cap|Electricity|Nuclear (GW);Capacity|Electricity|Nuclear (GW);1
Cap|Electricity|Oil (GW);Capacity|Electricity|Oil (GW);1
Cap|Electricity|Solar (GW);Capacity|Electricity|Solar (GW);1
Cap|Electricity|Solar|CSP (GW);Capacity|Electricity|Solar|CSP (GW);1
Cap|Electricity|Solar|PV (GW);Capacity|Electricity|Solar|PV (GW);1
Cap|Electricity|Wind (GW);Capacity|Electricity|Wind (GW);1
Tech|Electricity|Biomass|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/ CCS (US$2010/kW);1.10774
Tech|Electricity|Biomass|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/o CCS (US$2010/kW);1.10774
