generic;ADVANCE
Cap|Electricity|Coal|w/ CCS (GW);Capacity|Electricity|Coal|w/ CCS (GW)
Cap|Electricity|Coal|w/o CCS (GW);Capacity|Electricity|Coal|w/o CCS (GW)
Cap|Electricity|Gas|CC|w/ CCS (GW);Capacity|Electricity|Gas|w/ CCS (GW)
Cap|Electricity|Gas|CC|w/o CCS (GW);Capacity|Electricity|Gas|w/o CCS (GW)
Cap|Electricity|Hydro (GW);Capacity|Electricity|Hydro (GW)
Cap|Electricity|Nuclear (GW);Capacity|Electricity|Nuclear (GW)
Cap|Electricity|Solar (GW);Capacity|Electricity|Solar (GW)
Cap|Electricity|Solar|CSP (GW);Capacity|Electricity|Solar|CSP (GW)
Cap|Electricity|Solar|PV (GW);Capacity|Electricity|Solar|PV (GW)
Cap|Electricity|Wind (GW);Capacity|Electricity|Wind (GW)
Consumption (billion US$2005/yr);Consumption (billion US$2005/yr)
Cumulative Capacity|Electricity|Biomass (GW);Cumulative Capacity|Electricity|Biomass (GW)
Cumulative Capacity|Electricity|Biomass|w/ CCS (GW);Cumulative Capacity|Electricity|Biomass|w/ CCS (GW)
Cumulative Capacity|Electricity|Biomass|w/o CCS (GW);Cumulative Capacity|Electricity|Biomass|w/o CCS (GW)
Cumulative Capacity|Electricity|Coal (GW);Cumulative Capacity|Electricity|Coal (GW)
Cumulative Capacity|Electricity|Coal|w/ CCS (GW);Cumulative Capacity|Electricity|Coal|w/ CCS (GW)
Cumulative Capacity|Electricity|Coal|w/o CCS (GW);Cumulative Capacity|Electricity|Coal|w/o CCS (GW)
Cumulative Capacity|Electricity|Gas (GW);Cumulative Capacity|Electricity|Gas (GW)
Cumulative Capacity|Electricity|Gas|w/ CCS (GW);Cumulative Capacity|Electricity|Gas|w/ CCS (GW)
Cumulative Capacity|Electricity|Gas|w/o CCS (GW);Cumulative Capacity|Electricity|Gas|w/o CCS (GW)
Cumulative Capacity|Electricity|Nuclear (GW);Cumulative Capacity|Electricity|Nuclear (GW)
Cumulative Capacity|Electricity|Solar (GW);Cumulative Capacity|Electricity|Solar (GW)
Cumulative Capacity|Electricity|Solar|CSP (GW);Cumulative Capacity|Electricity|Solar|CSP (GW)
Cumulative Capacity|Electricity|Solar|PV (GW);Cumulative Capacity|Electricity|Solar|PV (GW)
Cumulative Capacity|Electricity|Wind (GW);Cumulative Capacity|Electricity|Wind (GW)
Emi|BC (Mt BC/yr);Emissions|BC (Mt BC/yr)
Emi|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr)
Emi|CO (Mt CO/yr);Emissions|CO (Mt CO/yr)
Emi|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr)
Emi|CO2|Carbon Capture and Storage (Mt CO2/yr);Emissions|CO2|Carbon Capture and Storage (Mt CO2/yr)
Emi|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);Emissions|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr)
Emi|CO2|Fossil Fuels and Industry (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry (Mt CO2/yr)
Emi|CO2|Fossil Fuels and Industry|Demand (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Demand (Mt CO2/yr)
Emi|CO2|Other Sector|Demand (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Other Sector (Mt CO2/yr)
Emi|CO2|Transport|Demand (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation (Mt CO2/yr)
Emi|CO2|Fossil Fuels and Industry|Energy Supply (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Supply (Mt CO2/yr)
Emi|CO2|Electricity Production (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity (Mt CO2/yr)
Emi|CO2|Land-Use Change (Mt CO2/yr);Emissions|CO2|Land Use (Mt CO2/yr)
Emi|F-Gases (Mt CO2eq/yr);Emissions|F-Gases (Mt CO2eq/yr)
Emi|Kyoto Gases (Mt CO2eq/yr);Emissions|Kyoto Gases (Mt CO2eq/yr)
Emi|N2O (kt N2O/yr);Emissions|N2O (kt N2O/yr)
Emi|NOx (Mt NOx/yr);Emissions|NOx (Mt NOx/yr)
