generic;ADVANCE;factor
Cap|Electricity|Biomass|w/ CCS (GW);Capacity|Electricity|Biomass|w/ CCS (GW);1
Cap|Electricity|Biomass|w/o CCS (GW);Capacity|Electricity|Biomass|w/o CCS (GW);1
Cap|Electricity|Coal|w/ CCS (GW);Capacity|Electricity|Coal|w/ CCS (GW);1
Cap|Electricity|Coal|w/o CCS (GW);Capacity|Electricity|Coal|w/o CCS (GW);1
Cap|Electricity|Gas|CC|w/ CCS (GW);Capacity|Electricity|Gas|w/ CCS (GW);1
Cap|Electricity|Gas|CC|w/o CCS (GW);Capacity|Electricity|Gas|w/o CCS (GW);1
Cap|Electricity|Hydro (GW);Capacity|Electricity|Hydro (GW);1
Cap|Electricity|Nuclear (GW);Capacity|Electricity|Nuclear (GW);1
Cap|Electricity|Solar|CSP (GW);Capacity|Electricity|Solar|CSP (GW);1
Cap|Electricity|Solar|PV (GW);Capacity|Electricity|Solar|PV (GW);1
Cap|Electricity|Wind (GW);Capacity|Electricity|Wind (GW);1
Consumption (billion US$2005/yr);Consumption (billion US$2010/yr);1.10774
Cumulative Cap|Electricity|Biomass (GW);Cumulative Capacity|Electricity|Biomass (GW);1
Cumulative Cap|Electricity|Biomass|w/ CCS (GW);Cumulative Capacity|Electricity|Biomass|w/ CCS (GW);1
Cumulative Cap|Electricity|Biomass|w/o CCS (GW);Cumulative Capacity|Electricity|Biomass|w/o CCS (GW);1
Cumulative Cap|Electricity|Coal (GW);Cumulative Capacity|Electricity|Coal (GW);1
Cumulative Cap|Electricity|Coal|w/ CCS (GW);Cumulative Capacity|Electricity|Coal|w/ CCS (GW);1
Cumulative Cap|Electricity|Coal|w/o CCS (GW);Cumulative Capacity|Electricity|Coal|w/o CCS (GW);1
Cumulative Cap|Electricity|Gas (GW);Cumulative Capacity|Electricity|Gas (GW);1
Cumulative Cap|Electricity|Gas|w/ CCS (GW);Cumulative Capacity|Electricity|Gas|w/ CCS (GW);1
Cumulative Cap|Electricity|Gas|w/o CCS (GW);Cumulative Capacity|Electricity|Gas|w/o CCS (GW);1
Cumulative Cap|Electricity|Nuclear (GW);Cumulative Capacity|Electricity|Nuclear (GW);1
Cumulative Cap|Electricity|Solar (GW);Cumulative Capacity|Electricity|Solar (GW);1
Cumulative Cap|Electricity|Solar|CSP (GW);Cumulative Capacity|Electricity|Solar|CSP (GW);1
Cumulative Cap|Electricity|Solar|PV (GW);Cumulative Capacity|Electricity|Solar|PV (GW);1
Cumulative Cap|Electricity|Wind (GW);Cumulative Capacity|Electricity|Wind (GW);1
Emi|BC (Mt BC/yr);Emissions|BC (Mt BC/yr);1
Emi|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr);1
Emi|CO (Mt CO/yr);Emissions|CO (Mt CO/yr);1
Emi|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr);1
Emi|CO2|Carbon Capture and Storage (Mt CO2/yr);Emissions|CO2|Carbon Capture and Storage (Mt CO2/yr);1
Emi|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);Emissions|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry|Demand (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Demand (Mt CO2/yr);1
Emi|CO2|Transport|Demand (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry|Energy Supply (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Supply (Mt CO2/yr);1
Emi|CO2|Electricity Production (Mt CO2/yr);Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity (Mt CO2/yr);1
Emi|CO2|Land-Use Change (Mt CO2/yr);Emissions|CO2|Land Use (Mt CO2/yr);1
Emi|F-Gases (Mt CO2-equiv/yr);Emissions|F-Gases (Mt CO2-equiv/yr);1
Emi|Kyoto Gases (Mt CO2-equiv/yr);Emissions|Kyoto Gases (Mt CO2-equiv/yr);1
Emi|N2O (kt N2O/yr);Emissions|N2O (kt N2O/yr);1
Emi|NOx (Mt NOx/yr);Emissions|NOx (Mt NOx/yr);1
Emi|OC (Mt OC/yr);Emissions|OC (Mt OC/yr);1
Emi|SO2 (Mt SO2/yr);Emissions|Sulfur (Mt SO2/yr);1
FE (EJ/yr);Final Energy (EJ/yr);1
FE|Electricity (EJ/yr);Final Energy|Electricity (EJ/yr);1
FE|Gases (EJ/yr);Final Energy|Gases (EJ/yr);1
FE|Heat (EJ/yr);Final Energy|Heat (EJ/yr);1
FE|Hydrogen (EJ/yr);Final Energy|Hydrogen (EJ/yr);1
FE|Liquids (EJ/yr);Final Energy|Liquids (EJ/yr);1
FE|Solids (EJ/yr);Final Energy|Solids (EJ/yr);1
FE|Solids|Biomass (EJ/yr);Final Energy|Solids|Biomass (EJ/yr);1
FE|Solids|Biomass|Traditional (EJ/yr);Final Energy|Solids|Biomass|Traditional (EJ/yr);1
FE|Solids|Coal (EJ/yr);Final Energy|Solids|Coal (EJ/yr);1
FE|Transport (EJ/yr);Final Energy|Transportation (EJ/yr);1
FE|Transport|Electricity (EJ/yr);Final Energy|Transportation|Electricity (EJ/yr);1
FE|Transport|Hydrogen (EJ/yr);Final Energy|Transportation|Hydrogen (EJ/yr);1
FE|Transport|Liquids (EJ/yr);Final Energy|Transportation|Liquids (EJ/yr);1
FE|Transport|Liquids|Biomass (EJ/yr);Final Energy|Transportation|Liquids|Biomass (EJ/yr);1
FE|Transport|Liquids|Coal (EJ/yr);Final Energy|Transportation|Liquids|Coal (EJ/yr);1
FE|Transport|Liquids|Oil (EJ/yr);Final Energy|Transportation|Liquids|Oil (EJ/yr);1
GDP|MER (billion US$2005/yr);GDP|MER (billion US$2010/yr);1.10774
GDP|PPP (billion US$2005/yr);GDP|PPP (billion US$2010/yr);1.10774
Population (million);Population (million);1
Price|Carbon (US$2005/t CO2);Price|Carbon (US$2010/tCO2);1.10774
Price|Coal|Secondary Level (US$2005/GJ);Price|Primary Energy|Coal (US$2010/GJ);1.10774
Price|Natural Gas|Secondary Level (US$2005/GJ);Price|Primary Energy|Gas (US$2010/GJ);1.10774
Price|Secondary Energy|Electricity (US$2005/GJ);Price|Secondary Energy|Electricity (US$2010/GJ);1.10774
PE (EJ/yr);Primary Energy (EJ/yr);1
PE|Biomass (EJ/yr);Primary Energy|Biomass (EJ/yr);1
PE|Biomass|w/ CCS (EJ/yr);Primary Energy|Biomass|w/ CCS (EJ/yr);1
PE|Biomass|w/o CCS (EJ/yr);Primary Energy|Biomass|w/o CCS (EJ/yr);1
PE|Coal (EJ/yr);Primary Energy|Coal (EJ/yr);1
