generic;cdlinks;factor
Emi|CO2|Land-Use Change (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1
Emi|N2O|Land Use (kt N2O/yr);Emissions|N2O|AFOLU (kt N2O/yr);1
Emi|CH4|Land Use (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1
Emi|BC|Land Use (Mt BC/yr);Emissions|BC|AFOLU (Mt BC/yr);1
Emi|NO2|Land Use (Mt NO2/yr);Emissions|NOx|AFOLU (Mt NO2/yr);1
Emi|OC|Land Use (Mt OC/yr);Emissions|OC|AFOLU (Mt OC/yr);1
Emi|SO2|Land Use (Mt SO2/yr);Emissions|Sulfur|AFOLU (Mt SO2/yr);1
Emi|CO|Land Use (Mt CO/yr);Emissions|CO|AFOLU (Mt CO/yr);1
Emi|NH3|Land Use (Mt NH3/yr);Emissions|NH3|AFOLU (Mt NH3/yr);1
Emi|NMHC|Land Use (Mt NMHC/yr);Emissions|VOC|AFOLU (Mt VOC/yr);1
Land Cover (million ha);Land Cover (million ha);1
Land Cover|Cropland (million ha);Land Cover|Cropland (million ha);1
Land Cover|Cropland|Cereals (million ha);Land Cover|Cropland|Cereals (million ha);1
Land Cover|Cropland|Energy Crops (million ha);Land Cover|Cropland|Energy Crops (million ha);1
Land Cover|Cropland|Energy Crops|Irrigated (million ha);Land Cover|Cropland|Energy Crops|Irrigated (million ha);1
Land Cover|Cropland|Irrigated (million ha);Land Cover|Cropland|Irrigated (million ha);1
Land Cover|Cropland|Rainfed (million ha);Land Cover|Cropland|Rainfed (million ha);1
Land Cover|Pasture (million ha);Land Cover|Pasture (million ha);1
Land Cover|Forest (million ha);Land Cover|Forest (million ha);1
Land Cover|Forest|Managed (million ha);Land Cover|Forest|Managed (million ha);1
Land Cover|Forest|Unmanaged (million ha);Land Cover|Forest|Natural Forest (million ha);1
Land Cover|Other|Arable (million ha);Land Cover|Other Arable Land (million ha);1
Land Cover|Other|Non-Arable (million ha);Land Cover|Other Land (million ha);1
Land Cover|Urban (million ha);Land Cover|Built-up Area (million ha);1
Yield|Cereal (tDM/ha/yr);Yield|Cereal (t DM/ha/yr);1
Yield|Oilcrops (tDM/ha/yr);Yield|Oilcrops (t DM/ha/yr);1
Yield|Sugarcrops (tDM/ha/yr);Yield|Sugarcrops (t DM/ha/yr);1
Agricultural Demand (million t DM/yr);Agricultural Demand (million t DM/yr);1
Agricultural Demand|Bioenergy (million t DM/yr);Agricultural Demand|Bioenergy (million t DM/yr);1
Agricultural Demand|Bioenergy|1st generation (million t DM/yr);Agricultural Demand|Bioenergy|1st generation (million t DM/yr);1
Agricultural Demand|Bioenergy|2nd generation (million t DM/yr);Agricultural Demand|Bioenergy|2nd generation (million t DM/yr);1
Agricultural Demand|Feed (million t DM/yr);Agricultural Demand|Feed (million t DM/yr);1
Agricultural Demand|Feed|Crops (million t DM/yr);Agricultural Demand|Crops|Feed (million t DM/yr);1
Agricultural Demand|Feed|Livestock (million t DM/yr);Agricultural Demand|Livestock|Feed (million t DM/yr);1
Agricultural Demand|Food (million t DM/yr);Agricultural Demand|Food (million t DM/yr);1
Agricultural Demand|Food|Crops (million t DM/yr);Agricultural Demand|Crops|Food (million t DM/yr);1
Agricultural Demand|Food|Livestock (million t DM/yr);Agricultural Demand|Livestock|Food (million t DM/yr);1
Agricultural Demand|Non-Food (million t DM/yr);Agricultural Demand|Other (million t DM/yr);1
Agricultural Demand|Non-Food|Crops (million t DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1
Agricultural Demand|Non-Food|Livestock (million t DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1
Agricultural Production (million t DM/yr);Agricultural Production (million t DM/yr);1
Agricultural Production|Livestock (million t DM/yr);Agricultural Production|Livestock (million t DM/yr);1
Agricultural Production|Non-Energy Crops (million t DM/yr);Agricultural Production|Crops|Non-Energy (million t DM/yr);1
Agricultural Production|Non-Energy Crops|Cereals (million t DM/yr);Agricultural Production|Crops|Non-Energy|Cereals (million t DM/yr);1
Agricultural Production|Energy Crops (million t DM/yr);Agricultural Production|Crops|Energy (million t DM/yr);1
Fertilizer Use|Nitrogen (Tg Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1
Fertilizer|Nitrogen|Intensity (t Nr/ha/yr);Fertilizer|Nitrogen|Intensity (t N/ha/yr);1
Price|Agriculture|Non-Energy Crops|Index (Index (2005 = 1));Price|Agriculture|Non-Energy Crops|Index (Index (2005 = 1));1
Price|Agriculture|Non-Energy Crops and Livestock|Index (Index (2005 = 1));Price|Agriculture|Non-Energy Crops and Livestock|Index (Index (2005 = 1));1
Price|Agriculture|Corn|Index (Index (2005 = 1));Price|Agriculture|Corn|Index (Index (2005 = 1));1
Price|Agriculture|Soybean|Index (Index (2005 = 1));Price|Agriculture|Soybean|Index (Index (2005 = 1));1
Price|Agriculture|Wheat|Index (Index (2005 = 1));Price|Agriculture|Wheat|Index (Index (2005 = 1));1
Food Demand (kcal/cap/day);Food Demand (kcal/cap/day);1
Food Demand|Crops (kcal/cap/day);Food Demand|Crops (kcal/cap/day);1
Food Demand|Livestock (kcal/cap/day);Food Demand|Livestock (kcal/cap/day);1
Food Energy Demand (EJ/yr);Food Energy Supply (EJ/yr);1
Food Energy Demand|Livestock (EJ/yr);Food Energy Supply|Livestock (EJ/yr);1
Water|Withdrawal|Irrigation (million m3/yr);Water Withdrawal|Irrigation (million m3/yr);1
Trade|Exports|Agriculture|Value (billion US$2005/yr);Export|Agriculture (billion US$2010/yr);1.1
Trade|Imports|Agriculture|Value (billion US$2005/yr);Import|Agriculture (billion US$2010/yr);1.1
Emi|CO2|Carbon Capture and Storage (Mt CO2/yr);Carbon Sequestration|CCS (Mt CO2/yr);1
Emi|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);Carbon Sequestration|CCS|Biomass (Mt CO2/yr);1
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity (Mt CO2/yr);1
