FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
564|Wine,2655|Wine,564|Wine,2655|Wine,alcohol,
51|Beer of barley,2656|Beer,51|Beer of barley,2656|Beer,alcohol,
"26|Beverages, fermented wheat","2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
"39|Beverages, fermented rice","2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
517|Cider etc,"2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
66|Beer of maize,"2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
82|Beer of millet,"2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
86|Beer of sorghum,"2657|Beverages, Fermented",,"2657|Beverages, Fermented",alcohol,
"634|Beverages, distilled alcoholic","2658|Beverages, Alcoholic",,"2658|Beverages, Alcoholic",alcohol,
632|Alcohol non food,"2659|Alcohol, Non-Food",,"2659|Alcohol, Non-Food",alcohol,
,2600|Brans,,2600|Brans,brans,
125|Cassava,2532|Cassava and products,125|Cassava,2532|Cassava and products,cassav_sp,
122|Sweet potatoes,2533|Sweet potatoes,122|Sweet potatoes,2533|Sweet potatoes,cassav_sp,
135|Yautia (cocoyam),"2534|Roots, Other",135|Yautia (cocoyam),"2534|Roots, Other",cassav_sp,
136|Taro (cocoyam),"2534|Roots, Other",136|Taro (cocoyam),"2534|Roots, Other",cassav_sp,
"149|Roots and tubers, nes","2534|Roots, Other","149|Roots and tubers, nes","2534|Roots, Other",cassav_sp,
137|Yams,2535|Yams,137|Yams,2535|Yams,cassav_sp,
329|Cottonseed,2559|Cottonseed,329|Cottonseed,2559|Cottonseed,cottn_pro,"used for extracting oil, no area information"
,,,X002|Distillers_grain,distillers_grain,
,,,X004|Brewers_grain,distillers_grain,
,,,X001|Ethanol,ethanol,
,2661|Cotton lint,767|Cotton lint,2661|Cotton lint,fibres,no area information
,2662|Jute,780|Jute,2662|Jute,remaining,
,2663|Jute-Like Fibres,"782|Bastfibres, other",2663|Jute-Like Fibres,remaining,
,"2664|Soft-Fibres, Other",,"2664|Soft-Fibres, Other",remaining,
,2665|Sisal,789|Sisal,2665|Sisal,remaining,
,2666|Abaca,809|Manila fibre (abaca),2666|Abaca,remaining,
,"2667|Hard Fibres, Other",,"2667|Hard Fibres, Other",remaining,
1501|Frwtr Diad F,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1502|Frwtr Fz Whl,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1503|Frwtr Fillet,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1504|Frwtr Fz Flt,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1505|Frwtr Cured,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1506|Frwtr Canned,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1507|Frwtr Pr nes,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1508|Frwtr Meals,2761|Freshwater Fish,,2761|Freshwater Fish,fish,
1514|Dmrsl Fresh,2762|Demersal Fish,,2762|Demersal Fish,fish,
1515|Dmrsl Fz Whl,2762|Demersal Fish,,2762|Demersal Fish,fish,
1516|Dmrsl Fillet,2762|Demersal Fish,,2762|Demersal Fish,fish,
1517|Dmrsl Fz Flt,2762|Demersal Fish,,2762|Demersal Fish,fish,
1518|Dmrsl Cured,2762|Demersal Fish,,2762|Demersal Fish,fish,
1519|Dmrsl Canned,2762|Demersal Fish,,2762|Demersal Fish,fish,
1520|Dmrsl Pr nes,2762|Demersal Fish,,2762|Demersal Fish,fish,
1521|Dmrsl Meals,2762|Demersal Fish,,2762|Demersal Fish,fish,
1527|Pelagic Frsh,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1528|Pelgc Fz Whl,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1529|Pelgc Fillet,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1530|Pelgc Fz Flt,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1531|Pelgc Cured,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1532|Pelgc Canned,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1533|Pelgc Pr nes,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1534|Pelgc Meals,2763|Pelagic Fish,,2763|Pelagic Fish,fish,
1540|Marine nes F,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1541|Marin Fz Whl,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1542|Marin Fillet,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1543|Marin Fz Flt,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1544|Marin Cured,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1545|Marin Canned,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1546|Marin Pr nes,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1547|Marin Meals,"2764|Marine Fish, Other",,"2764|Marine Fish, Other",fish,
1553|Crstaceans F,2765|Crustaceans,,2765|Crustaceans,fish,
1554|Crstc Frozen,2765|Crustaceans,,2765|Crustaceans,fish,
1555|Crstc Cured,2765|Crustaceans,,2765|Crustaceans,fish,
1556|Crstc Canned,2765|Crustaceans,,2765|Crustaceans,fish,
1557|Crstc Pr nes,2765|Crustaceans,,2765|Crustaceans,fish,
1558|Crstc Meals,2765|Crustaceans,,2765|Crustaceans,fish,
1570|Cephlp Fresh,2766|Cephalopods,,2766|Cephalopods,fish,
1571|Cphlp Frozen,2766|Cephalopods,,2766|Cephalopods,fish,
1572|Cphlp Cured,2766|Cephalopods,,2766|Cephalopods,fish,
1573|Cphlp Canned,2766|Cephalopods,,2766|Cephalopods,fish,
1574|Cphlp Pr nes,2766|Cephalopods,,2766|Cephalopods,fish,
1575|Cphlp Meals,2766|Cephalopods,,2766|Cephalopods,fish,
1562|Mlluscs Frsh,"2767|Molluscs, Other",,"2767|Molluscs, Other",fish,
1563|Molsc Frozen,"2767|Molluscs, Other",,"2767|Molluscs, Other",fish,
1564|Molsc Cured,"2767|Molluscs, Other",,"2767|Molluscs, Other",fish,
1565|Molsc Canned,"2767|Molluscs, Other",,"2767|Molluscs, Other",fish,
1566|Molsc Meals,"2767|Molluscs, Other",,"2767|Molluscs, Other",fish,
1580|Aq M Meat,"2768|Meat, Aquatic Mammals",,"2768|Meat, Aquatic Mammals",fish,
1583|Aq M Prep Ns,"2768|Meat, Aquatic Mammals",,"2768|Meat, Aquatic Mammals",fish,
1587|Aqutc Anim F,"2769|Aquatic Animals, Others",,"2769|Aquatic Animals, Others",fish,
1588|Aq A Cured,"2769|Aquatic Animals, Others",,"2769|Aquatic Animals, Others",fish,
1589|Aquatic Animals Meals,"2769|Aquatic Animals, Others",,"2769|Aquatic Animals, Others",fish,
1590|Aq A Prep Ns,"2769|Aquatic Animals, Others",,"2769|Aquatic Animals, Others",fish,
1509|Frwt Bdy Oil,"2781|Fish, Body Oil",,"2781|Fish, Body Oil",fish,
1522|Dmrs Bdy Oil,"2781|Fish, Body Oil",,"2781|Fish, Body Oil",fish,
1535|Pelg Bdy Oil,"2781|Fish, Body Oil",,"2781|Fish, Body Oil",fish,
1548|Marn Bdy Oil,"2781|Fish, Body Oil",,"2781|Fish, Body Oil",fish,
1582|Aq M Oils,"2781|Fish, Body Oil",,"2781|Fish, Body Oil",fish,
1510|Frwt Lvr Oil,"2782|Fish, Liver Oil",,"2782|Fish, Liver Oil",fish,
1523|Demersal Liver Oils,"2782|Fish, Liver Oil",,"2782|Fish, Liver Oil",fish,
1536|Pelg Lvr Oil,"2782|Fish, Liver Oil",,"2782|Fish, Liver Oil",fish,
1549|Marine nes Liver Oils,"2782|Fish, Liver Oil",,"2782|Fish, Liver Oil",fish,
,2855|Fish Meal,,2855|Fish Meal,fish,
,,"636|Forage and silage, maize",X005|Fodder_and_forage,foddr,
,,"637|Forage and silage, sorghum",X005|Fodder_and_forage,foddr,
,,"638|Forage and silage, rye grass",X005|Fodder_and_forage,foddr,
,,"639|Forage and silage, grasses nes",X005|Fodder_and_forage,foddr,
,,"640|Forage and silage, clover",X005|Fodder_and_forage,foddr,
,,"641|Forage and silage, alfalfa",X005|Fodder_and_forage,foddr,
,,"642|Forage and silage, green oilseeds",X005|Fodder_and_forage,foddr,
,,"643|Forage and silage, legumes",X005|Fodder_and_forage,foddr,
,,644|Cabbage for fodder,X005|Fodder_and_forage,foddr,
,,645|Pumpkins for Fodder,X005|Fodder_and_forage,foddr,
,,646|Turnips for fodder,X005|Fodder_and_forage,foddr,
,,647|Beets for fodder,X005|Fodder_and_forage,foddr,
,,648|Carrots for fodder,X005|Fodder_and_forage,foddr,
,,649|Swedes for fodder,X005|Fodder_and_forage,foddr,
,,651|Forage products,X005|Fodder_and_forage,foddr,
