MagPIE,ICP
alcohol,ALCOHOLIC BEVERAGES
brans,Bread and cereals
cassav_sp,Vegetables
fish,Fish and seafood
groundnut,Vegetables
livst_chick,Meat
livst_egg,"Milk, cheese and eggs"
livst_milk,"Milk, cheese and eggs"
livst_pig,Meat
livst_rum,Meat
maiz,Bread and cereals
molasses,"Sugar, jam, honey, chocolate and confectionery"
oils,Oils and fats
others,Vegetables
others,Fruit
potato,Vegetables
puls_pro,Vegetables
rapeseed,Oils and fats
rice_pro,Bread and cereals
scp,Food products n_e_c_ (Class)
soybean,Bread and cereals
sugar,"Sugar, jam, honey, chocolate and confectionery"
sugr_beet,"Sugar, jam, honey, chocolate and confectionery"
sugr_cane,"Sugar, jam, honey, chocolate and confectionery"
sunflower,Vegetables
tece,Bread and cereals
trce,Bread and cereals
