day,month,quarter
1,January,q1
2,January,q1
3,January,q1
4,January,q1
5,January,q1
6,January,q1
7,January,q1
8,January,q1
9,January,q1
10,January,q1
11,January,q1
12,January,q1
13,January,q1
14,January,q1
15,January,q1
16,January,q1
17,January,q1
18,January,q1
19,January,q1
20,January,q1
21,January,q1
22,January,q1
23,January,q1
24,January,q1
25,January,q1
26,January,q1
27,January,q1
28,January,q1
29,January,q1
30,January,q1
31,January,q1
32,February,q1
33,February,q1
34,February,q1
35,February,q1
36,February,q1
37,February,q1
38,February,q1
39,February,q1
40,February,q1
41,February,q1
42,February,q1
43,February,q1
44,February,q1
45,February,q1
46,February,q1
47,February,q1
48,February,q1
49,February,q1
50,February,q1
51,February,q1
52,February,q1
53,February,q1
54,February,q1
55,February,q1
56,February,q1
57,February,q1
58,February,q1
59,February,q1
60,March,q1
61,March,q1
62,March,q1
63,March,q1
64,March,q1
65,March,q1
66,March,q1
67,March,q1
68,March,q1
69,March,q1
70,March,q1
71,March,q1
72,March,q1
73,March,q1
74,March,q1
75,March,q1
76,March,q1
77,March,q1
78,March,q1
79,March,q1
80,March,q1
81,March,q1
82,March,q1
83,March,q1
84,March,q1
85,March,q1
86,March,q1
87,March,q1
88,March,q1
89,March,q1
90,March,q1
91,April,q2
92,April,q2
93,April,q2
94,April,q2
95,April,q2
96,April,q2
97,April,q2
98,April,q2
99,April,q2
100,April,q2
101,April,q2
102,April,q2
103,April,q2
104,April,q2
105,April,q2
106,April,q2
107,April,q2
108,April,q2
109,April,q2
110,April,q2
111,April,q2
112,April,q2
113,April,q2
114,April,q2
115,April,q2
116,April,q2
117,April,q2
118,April,q2
119,April,q2
120,April,q2
121,May,q2
122,May,q2
123,May,q2
124,May,q2
125,May,q2
126,May,q2
127,May,q2
128,May,q2
129,May,q2
130,May,q2
131,May,q2
132,May,q2
133,May,q2
134,May,q2
135,May,q2
136,May,q2
137,May,q2
138,May,q2
139,May,q2
140,May,q2
141,May,q2
142,May,q2
143,May,q2
144,May,q2
145,May,q2
146,May,q2
147,May,q2
148,May,q2
149,May,q2
150,May,q2
151,May,q2
152,June,q2
153,June,q2
154,June,q2
155,June,q2
156,June,q2
157,June,q2
158,June,q2
159,June,q2
160,June,q2
161,June,q2
162,June,q2
163,June,q2
164,June,q2
165,June,q2
166,June,q2
167,June,q2
168,June,q2
169,June,q2
170,June,q2
171,June,q2
172,June,q2
173,June,q2
174,June,q2
175,June,q2
176,June,q2
177,June,q2
178,June,q2
179,June,q2
180,June,q2
181,June,q2
182,July,q3
183,July,q3
184,July,q3
185,July,q3
186,July,q3
187,July,q3
188,July,q3
189,July,q3
190,July,q3
191,July,q3
192,July,q3
193,July,q3
194,July,q3
195,July,q3
196,July,q3
197,July,q3
198,July,q3
199,July,q3
200,July,q3
201,July,q3
202,July,q3
203,July,q3
204,July,q3
205,July,q3
206,July,q3
207,July,q3
208,July,q3
209,July,q3
210,July,q3
211,July,q3
212,July,q3
213,August,q3
214,August,q3
215,August,q3
216,August,q3
217,August,q3
218,August,q3
219,August,q3
220,August,q3
221,August,q3
222,August,q3
223,August,q3
224,August,q3
225,August,q3
226,August,q3
227,August,q3
228,August,q3
229,August,q3
230,August,q3
231,August,q3
232,August,q3
233,August,q3
234,August,q3
235,August,q3
236,August,q3
237,August,q3
238,August,q3
239,August,q3
240,August,q3
241,August,q3
242,August,q3
243,August,q3
244,September,q3
245,September,q3
246,September,q3
247,September,q3
248,September,q3
249,September,q3
250,September,q3
251,September,q3
252,September,q3
253,September,q3
254,September,q3
255,September,q3
256,September,q3
257,September,q3
258,September,q3
259,September,q3
260,September,q3
261,September,q3
262,September,q3
263,September,q3
264,September,q3
265,September,q3
266,September,q3
267,September,q3
268,September,q3
269,September,q3
270,September,q3
271,September,q3
272,September,q3
273,September,q3
274,October,q4
275,October,q4
276,October,q4
277,October,q4
278,October,q4
279,October,q4
280,October,q4
281,October,q4
282,October,q4
283,October,q4
284,October,q4
285,October,q4
286,October,q4
287,October,q4
288,October,q4
289,October,q4
290,October,q4
291,October,q4
292,October,q4
293,October,q4
294,October,q4
295,October,q4
296,October,q4
297,October,q4
298,October,q4
299,October,q4
300,October,q4
301,October,q4
302,October,q4
303,October,q4
304,October,q4
305,November,q4
306,November,q4
307,November,q4
308,November,q4
309,November,q4
310,November,q4
311,November,q4
312,November,q4
313,November,q4
314,November,q4
315,November,q4
316,November,q4
317,November,q4
318,November,q4
319,November,q4
320,November,q4
321,November,q4
322,November,q4
323,November,q4
324,November,q4
325,November,q4
326,November,q4
327,November,q4
328,November,q4
329,November,q4
330,November,q4
331,November,q4
332,November,q4
333,November,q4
334,November,q4
335,December,q4
336,December,q4
337,December,q4
338,December,q4
339,December,q4
340,December,q4
341,December,q4
342,December,q4
343,December,q4
344,December,q4
345,December,q4
346,December,q4
347,December,q4
348,December,q4
349,December,q4
350,December,q4
351,December,q4
352,December,q4
353,December,q4
354,December,q4
355,December,q4
356,December,q4
357,December,q4
358,December,q4
359,December,q4
360,December,q4
361,December,q4
362,December,q4
363,December,q4
364,December,q4
365,December,q4
366,January,q1
367,January,q1
368,January,q1
369,January,q1
370,January,q1
371,January,q1
372,January,q1
373,January,q1
374,January,q1
375,January,q1
376,January,q1
377,January,q1
378,January,q1
379,January,q1
380,January,q1
381,January,q1
382,January,q1
383,January,q1
384,January,q1
385,January,q1
386,January,q1
