"product","N","P"
"4007|Ammonia, anhydrous","N_fertilizer","other"
"4003|Ammonium nitrate (AN)","N_fertilizer","other"
"4002|Ammonium sulphate","N_fertilizer","other"
"4004|Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","N_fertilizer","other"
"4022|Diammonium phosphate (DAP)","N_fertilizer","P_fertilizer"
"4030|Fertilizers nec","N_fertilizer","P_fertilizer"
"4023|Monoammonium phosphate (MAP)","N_fertilizer","P_fertilizer"
"4021|NPK fertilizers","N_fertilizer","P_fertilizer"
"4008|Other nitrogenous fertilizers, nec","N_fertilizer","other"
"4026|Other NK compounds","N_fertilizer","other"
"4024|Other NP compounds","N_fertilizer","P_fertilizer"
"4014|Other phosphatic fertilizers, nec","other","P_fertilizer"
"4018|Other potassic fertilizers, nec","other","other"
"4011|Phosphate rock","other","P_fertilizer"
"4027|PK compounds","other","P_fertilizer"
"4016|Potassium chloride (muriate of potash) (MOP)","other","other"
"4025|Potassium nitrate","N_fertilizer","other"
"4017|Potassium sulphate (sulphate of potash) (SOP)","other","other"
"4005|Sodium nitrate","N_fertilizer","other"
"4012|Superphosphates above 35%","other","P_fertilizer"
"4013|Superphosphates, other","other","P_fertilizer"
"4001|Urea","N_fertilizer","other"
"4006|Urea and ammonium nitrate solutions (UAN)","N_fertilizer","other"
