MAgPIE,IMPACT
cassav_sp,Cassava
groundnut,Groundnut
livst_chick,Poultry
livst_egg,Eggs
livst_milk,Dairy
livst_pig,Pork
livst_rum,Beef
maiz,Maize
scp,Soybean Meal
oils,Soybean Oil
others,Vegetables
potato,Potato
puls_pro,Beans
rapeseed,Rapeseed
rice_pro,Rice
soybean,Soybean
sugar,Sugar
sunflower,Sunflower
tece,Wheat
trce,Millet
,Lamb
,Barley
,Millet
,Other Cereals
,Sorghum
,Cacao
,Coffee
,Other
,Tea
,Banana
,Plantain
,Temperate Fruit
,Tropical Fruit
,Groundnut meal
,Other meals
,Palm Kernel Meal
,Rapeseed Meal
,Soybean Meal
,Sunflower Meal
,Groundnut Oil
,Other Oils
,Palm Fruit Oil
,Palm Kernel Oil
,Rapeseed Oil
,Soybean Oil
,Sunflower Oil
,Other Oilseeds
,Beans
,Chickpeas
,Cowpeas
,Lentils
,Other Pulses
,Pigeonpeas
,Other Roots
,Sweet Potato
,Yams
,Cotton
