agg,enty1.enty2.enty3.te.sector
gas_el,pegas.seel.ngcc.power
gas_el,pegas.seel.ngt.power
gas_el,pegas.seel.gaschp.power
gas_el,pegas.sehe.gashp.power
gasind,pegas.segafos.gastr.indst
gasres,pegas.segafos.gastr.res
coal_el,pecoal.seel.pc.power
coal_el,pecoal.seel.coalchp.power
coal_el,pecoal.sehe.coalhp.power
coalind,pecoal.sesofos.coaltr.indst
coalres,pecoal.sesofos.coaltr.res
fepet,peoil.sepet.refped.trans
fedie,peoil.sedie.refdip.trans
fehosind,peoil.sepet.refped.indst
fehosind,peoil.sedie.refdip.indst
fehosres,peoil.sepet.refped.res
fehosres,peoil.sedie.refdip.res
dot,peoil.seel.dot.power
bio_el,pebiolc.seel.biochp.power
bio_el,pebiolc.sehe.biohp.power
bioind,pebiolc.sesobio.biotr.indst
biores,pebiolc.sesobio.biotr.res
biotrmod,pebiolc.sesobio.biotrmod.indst
fehosind,sedie.fehos.tdfoshos.indst
fehosres,sedie.fehos.tdfoshos.res
fedie,sedie.fedie.tdfosdie.trans
fepet,sepet.fepet.tdfospet.trans
coal_el_adv,pecoal.seel.igcc.power
coal_el_adv,pecoal.seel.igccc.power
coal_el_adv,pecoal.seel.pcc.power
coal_el_adv,pecoal.seel.pco.power
coal_el_adv,pecoal.segafos.coalgas.power
bio_el_adv,pebiolc.seel.bioigcc.power
bio_el_adv,pebiolc.seel.bioigccc.power
bio_el_adv,pebiolc.segabio.biogas.power
