CEDS16,CEDS9
Agricultural Waste Burning,Agricultural Waste Burning
Agriculture,Agriculture
Aircraft,Aircraft
Electricity and Heat Production,Energy Sector
Fossil Fuel Fires,Energy Sector
Fuel Production and Transformation,Energy Sector
Oil and Gas Fugitive/Flaring,Energy Sector
Forest Burning,Forest Burning
Grassland Burning,Grassland Burning
Industrial Combustion,Industrial Sector
Industrial Process and Product Use,Industrial Sector
International Shipping,International Shipping
International Shipping - Tanker Loading,International Shipping
Residential Commercial Other - Other,Residential Commercial Other
Residential Commercial Other - Residential Commercial,Residential Commercial Other
Solvents Production and Application,Solvents Production and Application
Non-Road Transportation,Transportation Sector
Road Transportation,Transportation Sector
Waste,Waste
Agricultural Waste Burning,Aggregate - Agriculture and LUC
Agriculture,Aggregate - Agriculture and LUC
Forest Burning,Aggregate - Agriculture and LUC
Grassland Burning,Aggregate - Agriculture and LUC
