CEDS59;MAC-ch4;MAC-n20;MAC-co2
3B_Manure-management;ch4anmlwst;;
3D_Rice-Cultivation;ch4rice;;
3D_Soil-emissions;;;
3E_Enteric-fermentation;ch4animals;;
3F_Agricultural-residue-burning-on-fields;ch4agwaste;n2oagwaste;
3I_Agriculture-other;;;
AGRI;;;
1A3ai_International-aviation;;n2otrans;
1A3aii_Domestic-aviation;;n2otrans;
1A1a_Electricity-autoproducer;;;
1A1a_Electricity-public;;;
1A1a_Heat-production;;;
BORF;;;co2luc
DEFO;;;co2luc
TEMF;;;co2luc
PEAT;;;co2luc
7A_Fossil-fuel-fires;;;
1A1bc_Other-transformation;;;
1B2d_Fugitive-other-energy;;;
1B1_Fugitive-solid-fuels;ch4coal;;
SAVA;;;co2luc
1A2a_Ind-Comb-Iron-steel;;;
1A2b_Ind-Comb-Non-ferrous-metals;;;
1A2c_Ind-Comb-Chemicals;;;
1A2d_Ind-Comb-Pulp-paper;;;
1A2e_Ind-Comb-Food-tobacco;;;
1A2f_Ind-Comb-Non-metalic-minerals;;;
1A2g_Ind-Comb-Construction;;;
1A2g_Ind-Comb-machinery;;;
1A2g_Ind-Comb-mining-quarying;;;
1A2g_Ind-Comb-other;;;
1A2g_Ind-Comb-textile-leather;;;
1A2g_Ind-Comb-transpequip;;;
1A2g_Ind-Comb-wood-products;;;
1A5_Other-unspecified;;;
2A1_Cement-production;;;co2cement_process
2A2_Lime-production;;;
2A6_Other-minerals;;;
2B_Chemical-industry;;n2onitac;
2C_Metal-production;;;
2H_Pulp-and-paper-food-beverage-wood;;;
2L_Other-process-emissions;;n2oadac;
6A_Other-in-total;;;
1A3di_International-shipping;;n2otrans;
1A3c_Rail;;n2otrans;
1A3dii_Domestic-navigation;;n2otrans;
1A3eii_Other-transp;;n2otrans;
1B2_Fugitive-petr-and-gas;;;
1A4c_Agriculture-forestry-fishing;;;
1A4a_Commercial-institutional;;;
1A4b_Residential;;;
1A3b_Road;;n2otrans;
2D_Degreasing-Cleaning;;;
2D_Paint-application;;;
2D3_Chemical-products-manufacture-processing;;;
2D3_Other-product-use;;;
5A_Solid-waste-disposal;ch4wstl;;
5C_Waste-incineration;ch4wstl;;
5D_Wastewater-handling;ch4wsts;n2owaste;
5E_Other-waste-handling;ch4wstl;;
