CEDS59,Sectors,Simulated
1A1a_Electricity-autoproducer,industry,exogenous
1A1a_Electricity-public,industry,exogenous
1A1a_Heat-production,industry,exogenous
1A1bc_Other-transformation,industry,exogenous
1A2a_Ind-Comb-Iron-steel,industry,exogenous
1A2b_Ind-Comb-Non-ferrous-metals,industry,exogenous
1A2c_Ind-Comb-Chemicals,industry,exogenous
1A2d_Ind-Comb-Pulp-paper,industry,exogenous
1A2e_Ind-Comb-Food-tobacco,industry,exogenous
1A2f_Ind-Comb-Non-metalic-minerals,industry,exogenous
1A2g_Ind-Comb-Construction,industry,exogenous
1A2g_Ind-Comb-machinery,industry,exogenous
1A2g_Ind-Comb-mining-quarying,industry,exogenous
1A2g_Ind-Comb-other,industry,exogenous
1A2g_Ind-Comb-textile-leather,industry,exogenous
1A2g_Ind-Comb-transpequip,industry,exogenous
1A2g_Ind-Comb-wood-products,industry,exogenous
1A3b_Road,transport,exogenous
1A3c_Rail,transport,exogenous
1A3dii_Domestic-navigation,transport,exogenous
1A3eii_Other-transp,transport,exogenous
1A4a_Commercial-institutional,industry,exogenous
1A4b_Residential,industry,exogenous
1A4c_Agriculture-forestry-fishing,industry,exogenous
1A5_Other-unspecified,industry,exogenous
1B1_Fugitive-solid-fuels,industry,exogenous
1B2d_Fugitive-other-energy,industry,exogenous
1B2_Fugitive-petr-and-gas,industry,exogenous
2A1_Cement-production,industry,exogenous
2A2_Lime-production,industry,exogenous
2A6_Other-minerals,industry,exogenous
2B_Chemical-industry,chemical_industry,exogenous
2C_Metal-production,industry,exogenous
2D3_Chemical-products-manufacture-processing,industry,exogenous
2D3_Other-product-use,industry,exogenous
2D_Degreasing-Cleaning,industry,exogenous
2D_Paint-application,industry,exogenous
2H_Pulp-and-paper-food-beverage-wood,industry,exogenous
2L_Other-process-emissions,industry,exogenous
3B_Manure-management,agriculture,endogenous
3D_Rice-Cultivation,agriculture,endogenous
3D_Soil-emissions,agriculture,endogenous
3E_Enteric-fermentation,agriculture,endogenous
3F_Agricultural-residue-burning-on-fields,agriculture,endogenous
3I_Agriculture-other,agriculture,endogenous
5A_Solid-waste-disposal,waste_management,exogenous
5C_Waste-incineration,waste_management,exogenous
5D_Wastewater-handling,sewage,exogenous
5E_Other-waste-handling,waste_management,exogenous
6A_Other-in-total,industry,exogenous
6B_Other-not-in-total,industry,exogenous
7A_Fossil-fuel-fires,industry,exogenous
1A3aii_Domestic-aviation,transport,exogenous
1A3ai_International-aviation,transport,exogenous
1A3di_International-shipping,transport,exogenous
AGRI,luc,endogenous
BORF,luc,endogenous
DEFO,luc,endogenous
PEAT,luc,endogenous
SAVA,luc,endogenous
TEMF,luc,endogenous
