EDGAR_CO2,REMIND
1A1a,Energy Supply
1A1bc,Energy Supply
1A2,Industry
1A3a,Domestic Aviation
1A3b,Ground Transportation
1A3c,Ground Transportation
1A3d,Ground Transportation
1A3e,Ground Transportation
1A4,Residential and Commercial
1B1,Energy Supply
1B2,Energy Supply
1C1,International Aviation
1C2,International Shipping
2A1,Industrial Process
2A2,Industrial Process
2A7,Industrial Process
2B,Industrial Process
2C,Industrial Process
2D,Industrial Process
2G,Industrial Process
3A,Solvents
3B,Solvents
3C,Solvents
3D,Solvents
4D4,Agriculture
5A,Forest Burning
5D,Savannah Burning
5F2,Forest Burning
6C,Waste
6D,Waste
7A,Fossil Fuel Fires
