LIMITS;enty1;enty2;te;sector
gas_el;pegas;seel;ngcc;power
gas_el;pegas;seel;ngt;power
gas_el;pegas;seel;gaschp;power
gas_el;pegas;sehe;gashp;power
coal_el;pecoal;seel;pc;power
coal_el;pecoal;seel;igcc;power
coal_el;pecoal;seel;pcc;power
coal_el;pecoal;seel;pco;power
coal_el;pecoal;seel;igccc;power
coal_el;pecoal;sehe;gashp;power
dot;peoil;seel;dot;power
bio_el;pebiolc;seel;biochp;power
bio_el;pebiolc;sehe;biohp;power
bio_el;pebiolc;seel;bioigcc;power
bio_el;pebiolc;seel;bioigccc;power
bio_el;pebiolc;segabio;biogas;power
gasind;pegas;segafos;gastr;indst
coalind;pecoal;sesofos;coaltr;indst
fehosind;peoil;sepet;refped;indst
fehosind;peoil;sedie;refdip;indst
bioind;pebiolc;sesobio;biotr;indst
biotrmod;pebiolc;sesobio;biomod;indst
gasres;pegas;segafos;gastr;res
coalres;pecoal;sesofos;coaltr;res
fehosres;peoil;sepet;refped;res
fehosres;peoil;sedie;refdip;res
biores;pebiolc;sesobio;biotr;res
fepet;peoil;sepet;refped;trans
fedie;peoil;sedie;refdip;trans
fehosind;sedie;fehos;tdfoshos;indst
fehosres;sedie;fehos;tdfoshos;res
fedie;sedie;fedie;tdfosdie;trans
fepet;sepet;fepet;tdfospet;trans
