LIMITS;remind
AACID;ind
CEMENT;ind
CHEM;solvents
CHEMBULK;ind
CUSM;ind
End_Use_Industry_Bio_Trad;bioind
End_Use_Industry_Coal;coalind
End_Use_Industry_HLF;fehosind
End_Use_Industry_LLF;fehosind
End_Use_Industry_NatGas;gasind
End_Use_Others_Bio_Mod;biotrmod
End_Use_Others_Bio_Trad;bioind
End_Use_Others_Coal;coalind
End_Use_Others_HLF;fehosind
End_Use_Others_LLF;fehosind
End_Use_Others_NatGas;gasind
End_Use_Residential_Bio_Mod;biotrmod
End_Use_Residential_Bio_Trad;biores
End_Use_Residential_Coal;coalres
End_Use_Residential_HLF;fehosres
End_Use_Residential_LLF;fehosres
End_Use_Residential_NatGas;gasres
End_Use_Services_Bio_Mod;biotrmod
End_Use_Services_Bio_Trad;bioind
End_Use_Services_Coal;coalind
End_Use_Services_HLF;fehosind
End_Use_Services_LLF;fehosind
End_Use_Services_NatGas;gasind
End_Use_Transport_Air_Domestic;fedie
End_Use_Transport_Air_LTO;fedie
End_Use_Transport_Coal;coalind
End_Use_Transport_HLF;fedie
End_Use_Transport_LLF;fepet
End_Use_Transport_NatGas;gasind
Losses_Vent_Flare;other
NACID;ind
PAPER;ind
Power_Gen_Bio_Trad;bio_el
Power_Gen_Coal;coal_el
Power_Gen_HLF;dot
Power_Gen_LLF;dot
Power_Gen_NatGas;gas_el
STEEL;ind
Transformations_HLF;other
Transformations_HLF_Refinery;other
Transformations_LLF;other

