generic;generic_unit;ts10;ts10_unit
Cap|Electricity;GW;Capacity|Electricity;GW
Cap|Electricity|Biomass;GW;Capacity|Electricity|Biomass;GW
Cap|Electricity|Coal;GW;Capacity|Electricity|Coal;GW
Cap|Electricity|Coal|IGCC|w/ CCS;GW;Capacity|Electricity|Coal|IGCC|w/ CCS;GW
Cap|Electricity|Coal|IGCC|w/o CCS;GW;Capacity|Electricity|Coal|IGCC|w/o CCS;GW
Cap|Electricity|Coal|w/ CCS;GW;Capacity|Electricity|Coal|w/ CCS;GW
Cap|Electricity|Coal|w/o CCS;GW;Capacity|Electricity|Coal|w/o CCS;GW
Cap|Electricity|Gas;GW;Capacity|Electricity|Gas;GW
Cap|Electricity|Gas|CC|w/ CCS;GW;Capacity|Electricity|Gas|CC|w/ CCS;GW
Cap|Electricity|Gas|CC|w/o CCS;GW;Capacity|Electricity|Gas|CC|w/o CCS;GW
Cap|Electricity|Gas|w/ CCS;GW;Capacity|Electricity|Gas|w/ CCS;GW
Cap|Electricity|Gas|w/o CCS;GW;Capacity|Electricity|Gas|w/o CCS;GW
Cap|Electricity|Geothermal;GW;Capacity|Electricity|Geothermal;GW
Cap|Electricity|Hydro;GW;Capacity|Electricity|Hydro;GW
Cap|Electricity|Nuclear;GW;Capacity|Electricity|Nuclear;GW
Cap|Electricity|Oil|w/o CCS;GW;Capacity|Electricity|Oil|w/o CCS;GW
Cap|Electricity|Solar;GW;Capacity|Electricity|Solar;GW
Cap|Electricity|Solar|CSP;GW;Capacity|Electricity|Solar|CSP;GW
Cap|Electricity|Solar|PV;GW;Capacity|Electricity|Solar|PV;GW
Cap|Electricity|Wind;GW;Capacity|Electricity|Wind;GW
Consumption;billion US$2005/yr;Consumption;billion US$2005/yr
Cumulative Capacity|Electricity;GW;Cumulative Capacity|Electricity;GW
Cumulative Capacity|Electricity|Biomass;GW;Cumulative Capacity|Electricity|Biomass;GW
Cumulative Capacity|Electricity|Biomass|w/ CCS;GW;Cumulative Capacity|Electricity|Biomass|w/ CCS;GW
Cumulative Capacity|Electricity|Biomass|w/o CCS;GW;Cumulative Capacity|Electricity|Biomass|w/o CCS;GW
Cumulative Capacity|Electricity|Coal;GW;Cumulative Capacity|Electricity|Coal;GW
Cumulative Capacity|Electricity|Coal|IGCC|w/ CCS;GW;Cumulative Capacity|Electricity|Coal|IGCC|w/ CCS;GW
Cumulative Capacity|Electricity|Coal|IGCC|w/o CCS;GW;Cumulative Capacity|Electricity|Coal|IGCC|w/o CCS;GW
Cumulative Capacity|Electricity|Coal|w/ CCS;GW;Cumulative Capacity|Electricity|Coal|w/ CCS;GW
Cumulative Capacity|Electricity|Coal|w/o CCS;GW;Cumulative Capacity|Electricity|Coal|w/o CCS;GW
Cumulative Capacity|Electricity|Gas;GW;Cumulative Capacity|Electricity|Gas;GW
Cumulative Capacity|Electricity|Gas|CC|w/ CCS;GW;Cumulative Capacity|Electricity|Gas|CC|w/ CCS;GW
Cumulative Capacity|Electricity|Gas|CC|w/o CCS;GW;Cumulative Capacity|Electricity|Gas|CC|w/o CCS;GW
Cumulative Capacity|Electricity|Gas|CT;GW;Cumulative Capacity|Electricity|Gas|CT;GW
Cumulative Capacity|Electricity|Gas|w/ CCS;GW;Cumulative Capacity|Electricity|Gas|w/ CCS;GW
Cumulative Capacity|Electricity|Gas|w/o CCS;GW;Cumulative Capacity|Electricity|Gas|w/o CCS;GW
Cumulative Capacity|Electricity|Non-Biomass Renewables;GW;Cumulative Capacity|Electricity|Non-Biomass Renewables;GW
Cumulative Capacity|Electricity|Nuclear;GW;Cumulative Capacity|Electricity|Nuclear;GW
Cumulative Capacity|Electricity|Solar;GW;Cumulative Capacity|Electricity|Solar;GW
Cumulative Capacity|Electricity|Solar|CSP;GW;Cumulative Capacity|Electricity|Solar|CSP;GW
Cumulative Capacity|Electricity|Solar|PV;GW;Cumulative Capacity|Electricity|Solar|PV;GW
Cumulative Capacity|Electricity|Wind;GW;Cumulative Capacity|Electricity|Wind;GW
Cumulative Capacity|Electricity|Wind|Onshore;GW;Cumulative Capacity|Electricity|Wind|Onshore;GW
Cumulative Capacity|Hydrogen;GW;Cumulative Capacity|Hydrogen;GW
Cumulative Capacity|Hydrogen|Biomass;GW;Cumulative Capacity|Hydrogen|Biomass;GW
Cumulative Capacity|Hydrogen|Biomass|w/ CCS;GW;Cumulative Capacity|Hydrogen|Biomass|w/ CCS;GW
Cumulative Capacity|Hydrogen|Biomass|w/o CCS;GW;Cumulative Capacity|Hydrogen|Biomass|w/o CCS;GW
Cumulative Capacity|Hydrogen|Electricity;GW;Cumulative Capacity|Hydrogen|Electricity;GW
Cumulative Capacity|Hydrogen|Fossil;GW;Cumulative Capacity|Hydrogen|Fossil;GW
Cumulative Capacity|Hydrogen|Fossil|w/ CCS;GW;Cumulative Capacity|Hydrogen|Fossil|w/ CCS;GW
