EDGEitems;iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment
;ADDITIVE;NETRANS;seliq;fedie;tddie;1;
;AVGAS;NETRANS;seliq;fedie;tddie;1;
;BIODIESEL;NETRANS;seliq;fedie;tddie;1;
;BIOGASOL;NETRANS;seliq;fedie;tddie;1;
;BITUMEN;NETRANS;seliq;fedie;tddie;1;
;COALTAR;NETRANS;seliq;fedie;tddie;1;
;CRNGFEED;NETRANS;seliq;fedie;tddie;1;
;CRUDEOIL;NETRANS;seliq;fedie;tddie;1;
;JETGAS;NETRANS;seliq;fedie;tddie;1;
;LPG;NETRANS;seliq;fedie;tddie;1;
;LUBRIC;NETRANS;seliq;fedie;tddie;1;
;NAPHTHA;NETRANS;seliq;fedie;tddie;1;
;NGL;NETRANS;seliq;fedie;tddie;1;
;NONBIODIES;NETRANS;seliq;fedie;tddie;1;
;NONBIOGASO;NETRANS;seliq;fedie;tddie;1;
;NONBIOJETK;NETRANS;seliq;fedie;tddie;1;
;NONCRUDE;NETRANS;seliq;fedie;tddie;1;
;OBIOLIQ;NETRANS;seliq;fedie;tddie;1;
;ONONSPEC;NETRANS;seliq;fedie;tddie;1;
;OTHKERO;NETRANS;seliq;fedie;tddie;1;
;PARWAX;NETRANS;seliq;fedie;tddie;1;
;REFFEEDS;NETRANS;seliq;fedie;tddie;1;
;REFINGAS;NETRANS;seliq;fedie;tddie;1;
;RESFUEL;NETRANS;seliq;fedie;tddie;1;
;WHITESP;NETRANS;seliq;fedie;tddie;1;
;ADDITIVE;DOMESAIR;seliq;fedie;tddie;1;
;ADDITIVE;ROAD;seliq;fedie;tddie;0;
;ADDITIVE;RAIL;seliq;fedie;tddie;1;
;ADDITIVE;PIPELINE;seliq;fedie;tddie;1;
;ADDITIVE;DOMESNAV;seliq;fedie;tddie;1;
;ADDITIVE;TRNONSPE;seliq;fedie;tddie;1;
;ADDITIVE;MARBUNK;seliq;fedie;tddie;-1;
;ADDITIVE;AVBUNK;seliq;fedie;tddie;-1;
;ADDITIVE;DISTLOSS;seliq;fedie;tddie;-1;
;AVGAS;DOMESAIR;seliq;fedie;tddie;1;
;AVGAS;ROAD;seliq;fedie;tddie;1;
;AVGAS;RAIL;seliq;fedie;tddie;1;
;AVGAS;PIPELINE;seliq;fedie;tddie;1;
;AVGAS;DOMESNAV;seliq;fedie;tddie;1;
