reportingnames,svg objectnames
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure Recycled from Confinements (Mt Nr/yr),awms_soils
Resources|Nitrogen|Cropland Budget|Balance|+|Balanceflow (Mt Nr/yr),
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Managed Forest (Mt Nr/yr),dep_othersoils
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Other Land (Mt Nr/yr),dep_othersoils
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Primary Forest (Mt Nr/yr),dep_othersoils
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Secondary Forest (Mt Nr/yr),dep_othersoils
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Urban Area (Mt Nr/yr),dep_othersoils
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Pastures and Rangelands (Mt Nr/yr),dep_pastures
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|Transboundary or Oceans (Mt Nr/yr),
Resources|Nitrogen|Terrestrial Atmospheric Deposition|+|NO2-N (Mt Nr/yr),
Resources|Nitrogen|Terrestrial Atmospheric Deposition|+|NH3-N (Mt Nr/yr),
Resources|Nitrogen|Cropland Budget|Inputs|+|Atmospheric Deposition (Mt Nr/yr),dep_soils
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer (Mt Nr/yr),fertilizer_soils
Production|+|Fish (Mt Nr/yr),fish_utilization
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation (Mt Nr/yr),
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Managed Forest (Mt Nr/yr),fixation_othersoils
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Primary Forest (Mt Nr/yr),fixation_othersoils
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Secondary Forest (Mt Nr/yr),fixation_othersoils
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Urban Area (Mt Nr/yr),fixation_othersoils
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Other Land (Mt Nr/yr),fixation_othersoils
Resources|Nitrogen|Planetary Budget|Fixation and Release|Terrestrial Biological Fixation|+|Pastures and Rangelands (Mt Nr/yr),fixation_pastures
Resources|Nitrogen|Planetary Budget|Fixation and Release|Nitrogen fixation in oceans (Mt Nr/yr),
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops (Mt Nr/yr),fixation_plants
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms (Mt Nr/yr),fixation_soils
Resources|Nitrogen|Manure|Manure From Stubble Grazing|+|Poultry meat (Mt Nr/yr),monogastrics_awms
Resources|Nitrogen|Manure|Manure In Confinements|+|Poultry meat (Mt Nr/yr),monogastrics_awms
Resources|Nitrogen|Manure|Manure From Stubble Grazing|+|Eggs (Mt Nr/yr),monogastrics_awms
